ticker,n_bets,win_rate,avg_win_pct,avg_loss_pct,ev_pct,total_pnl_pct,profit_factor,bets_per_day,setup,barriers
SBUX,450,46.9,8.892,-9.444,-0.846,-380.8,0.83,0.178,IBS_15_85,1:1/3d
TGT,451,45.0,11.651,-12.089,-1.403,-632.94,0.79,0.179,IBS_15_85,1:1/3d
CAT,453,43.5,8.248,-8.752,-1.359,-615.73,0.73,0.18,IBS_15_85,1:1/3d
GE,473,50.1,38.068,-35.906,1.159,548.32,1.06,0.188,IBS_15_85,1:1/3d
HON,472,42.8,8.256,-8.394,-1.268,-598.54,0.74,0.187,IBS_15_85,1:1/3d
UNP,464,49.6,9.405,-9.076,0.085,39.42,1.02,0.184,IBS_15_85,1:1/3d
BA,468,48.9,3.251,-3.172,-0.029,-13.71,0.98,0.187,IBS_15_85,1:1/3d
RTX,477,44.9,19.023,-28.075,-6.945,-3312.8,0.55,0.189,IBS_15_85,1:1/3d
DE,440,44.3,5.991,-6.505,-0.967,-425.4,0.73,0.174,IBS_15_85,1:1/3d
LMT,430,43.3,10.16,-10.887,-1.783,-766.54,0.71,0.171,IBS_15_85,1:1/3d
MMM,480,41.7,25.722,-29.93,-6.742,-3235.98,0.61,0.19,IBS_15_85,1:1/3d
FDX,452,46.0,8.864,-8.454,-0.485,-219.03,0.89,0.179,IBS_15_85,1:1/3d
XOM,478,45.4,15.159,-18.667,-3.311,-1582.63,0.68,0.19,IBS_15_85,1:1/3d
CVX,444,51.4,16.847,-17.605,0.086,38.36,1.01,0.176,IBS_15_85,1:1/3d
COP,461,46.4,15.08,-13.379,-0.168,-77.55,0.98,0.183,IBS_15_85,1:1/3d
SLB,417,48.4,10.327,-10.485,-0.404,-168.33,0.93,0.165,IBS_15_85,1:1/3d
EOG,449,44.8,15.981,-17.558,-2.544,-1142.21,0.74,0.178,IBS_15_85,1:1/3d
MPC,459,47.9,11.286,-11.853,-0.762,-349.93,0.88,0.183,IBS_15_85,1:1/3d
VLO,453,46.6,13.789,-15.041,-1.612,-730.31,0.8,0.18,IBS_15_85,1:1/3d
PSX,477,44.0,16.138,-16.777,-2.286,-1090.48,0.76,0.19,IBS_15_85,1:1/3d
OXY,434,47.9,7.997,-7.788,-0.223,-96.71,0.95,0.172,IBS_15_85,1:1/3d
HAL,413,48.7,8.818,-9.244,-0.453,-187.27,0.9,0.164,IBS_15_85,1:1/3d
NFLX,494,39.9,642.453,-699.905,-164.592,-81308.63,0.61,0.196,IBS_15_85,1:1/3d
DIS,460,50.7,3.286,-3.449,-0.037,-17.2,0.98,0.182,IBS_15_85,1:1/3d
CMCSA,425,46.6,15.986,-17.307,-1.796,-763.45,0.81,0.169,IBS_15_85,1:1/3d
T,463,46.2,43.488,-49.354,-6.442,-2982.63,0.76,0.184,IBS_15_85,1:1/3d
VZ,448,41.5,20.675,-24.489,-5.738,-2570.48,0.6,0.178,IBS_15_85,1:1/3d
TMUS,428,47.0,3.684,-3.914,-0.346,-147.91,0.83,0.171,IBS_15_85,1:1/3d
CHTR,405,50.4,2.211,-2.249,-0.002,-0.97,1.0,0.16,IBS_15_85,1:1/3d
EA,441,49.7,2.966,-3.016,-0.045,-19.99,0.97,0.175,IBS_15_85,1:1/3d
ATVI,381,47.8,3.023,-3.062,-0.156,-59.25,0.9,0.183,IBS_15_85,1:1/3d
WBD,447,48.8,3.51,-3.54,-0.102,-45.39,0.94,0.178,IBS_15_85,1:1/3d
LIN,459,49.0,6.185,-6.058,-0.056,-25.9,0.98,0.182,IBS_15_85,1:1/3d
APD,467,44.1,9.106,-10.113,-1.635,-763.72,0.71,0.185,IBS_15_85,1:1/3d
SHW,501,43.9,74.151,-94.775,-20.596,-10318.5,0.61,0.198,IBS_15_85,1:1/3d
ECL,484,50.0,4.822,-4.941,-0.059,-28.63,0.98,0.192,IBS_15_85,1:1/3d
DD,475,40.4,107.794,-102.839,-17.699,-8407.09,0.71,0.189,IBS_15_85,1:1/3d
NEM,468,45.9,10.198,-12.467,-2.055,-961.55,0.7,0.185,IBS_15_85,1:1/3d
FCX,436,48.6,7.111,-6.419,0.16,69.73,1.05,0.173,IBS_15_85,1:1/3d
NUE,453,49.4,7.827,-7.631,0.013,5.68,1.0,0.179,IBS_15_85,1:1/3d
DOW,350,47.7,21.32,-20.821,-0.714,-249.86,0.93,0.168,IBS_15_85,1:1/3d
CF,456,50.4,10.777,-10.414,0.274,125.11,1.05,0.181,IBS_15_85,1:1/3d
SPY,524,45.2,4.81,-6.375,-1.316,-689.6,0.62,0.208,IBS_15_85,1:1/3d
QQQ,539,42.7,3.088,-3.456,-0.663,-357.49,0.67,0.214,IBS_15_85,1:1/3d
IWM,481,47.4,5.016,-5.965,-0.759,-365.31,0.76,0.191,IBS_15_85,1:1/3d
XLF,483,46.6,7.226,-7.578,-0.682,-329.26,0.83,0.191,IBS_15_85,1:1/3d
XLE,480,42.3,97.86,-102.813,-17.945,-8613.64,0.7,0.19,IBS_15_85,1:1/3d
XLK,604,34.8,82.767,-95.346,-33.419,-20185.04,0.46,0.24,IBS_15_85,1:1/3d
XLV,486,42.4,5.738,-7.197,-1.714,-833.22,0.59,0.193,IBS_15_85,1:1/3d
XLP,475,42.7,7.924,-11.279,-3.072,-1459.35,0.52,0.188,IBS_15_85,1:1/3d
GLD,411,49.6,0.891,-0.845,0.016,6.77,1.04,0.163,IBS_15_85,1:1/3d
TLT,490,46.9,11.064,-12.73,-1.562,-765.18,0.77,0.194,IBS_15_85,1:1/3d
AMD,468,49.6,4.014,-3.637,0.156,72.86,1.08,0.185,IBS_15_85,1:1/3d
INTC,473,48.8,8.331,-7.996,-0.022,-10.44,0.99,0.188,IBS_15_85,1:1/3d
CRM,473,50.7,2.794,-2.795,0.041,19.37,1.03,0.188,IBS_15_85,1:1/3d
PYPL,472,50.8,2.793,-2.697,0.095,44.65,1.07,0.187,IBS_15_85,1:1/3d
SQ,451,54.3,4.011,-4.329,0.202,90.9,1.1,0.179,IBS_15_85,1:1/3d
SHOP,498,41.2,322.135,-497.523,-160.114,-79736.55,0.45,0.197,IBS_15_85,1:1/3d
UBER,348,51.7,3.38,-3.637,-0.007,-2.59,1.0,0.172,IBS_15_85,1:1/3d
ABNB,255,50.6,3.347,-3.314,0.055,14.12,1.03,0.177,IBS_15_85,1:1/3d
COIN,254,44.1,6.415,-6.249,-0.665,-168.82,0.81,0.192,IBS_15_85,1:1/3d
SNAP,432,47.5,4.249,-4.371,-0.28,-121.1,0.88,0.172,IBS_15_85,1:1/3d
AAPL,314,37.6,3.975,-125.966,-77.135,-24220.33,0.02,0.124,IBS_10_90,1.5:1/5d
MSFT,302,42.1,4.509,-4.698,-0.826,-249.6,0.7,0.12,IBS_10_90,1.5:1/5d
AMZN,305,37.7,3.843,-987.562,-613.753,-187194.76,0.0,0.121,IBS_10_90,1.5:1/5d
GOOGL,272,35.7,3.413,-1047.388,-672.654,-182961.92,0.0,0.108,IBS_10_90,1.5:1/5d
META,275,48.0,3.885,-3.02,0.294,80.99,1.19,0.109,IBS_10_90,1.5:1/5d
NVDA,300,33.3,6.211,-1678.203,-1116.732,-335019.51,0.0,0.119,IBS_10_90,1.5:1/5d
TSLA,301,35.9,6.844,-433.618,-275.579,-82949.2,0.01,0.119,IBS_10_90,1.5:1/5d
AVGO,297,32.0,4.42,-670.257,-454.452,-134972.11,0.0,0.118,IBS_10_90,1.5:1/5d
ORCL,262,41.2,3.859,-5.325,-1.539,-403.21,0.51,0.104,IBS_10_90,1.5:1/5d
ADBE,305,47.2,3.755,-2.451,0.479,146.02,1.37,0.121,IBS_10_90,1.5:1/5d
JPM,246,38.2,3.911,-9.233,-4.21,-1035.75,0.26,0.098,IBS_10_90,1.5:1/5d
BAC,236,41.5,5.919,-9.614,-3.164,-746.67,0.44,0.094,IBS_10_90,1.5:1/5d
WFC,247,41.7,5.549,-9.802,-3.401,-839.95,0.4,0.099,IBS_10_90,1.5:1/5d
GS,261,37.5,5.544,-8.669,-3.332,-869.69,0.38,0.104,IBS_10_90,1.5:1/5d
MS,237,40.9,6.113,-11.338,-4.195,-994.31,0.37,0.094,IBS_10_90,1.5:1/5d
C,244,41.4,5.211,-13.671,-5.855,-1428.66,0.27,0.097,IBS_10_90,1.5:1/5d
BLK,265,35.8,4.348,-10.29,-5.042,-1336.18,0.24,0.105,IBS_10_90,1.5:1/5d
SCHW,249,38.2,5.712,-5.916,-1.48,-368.42,0.6,0.099,IBS_10_90,1.5:1/5d
AXP,272,40.4,4.666,-5.873,-1.611,-438.11,0.54,0.108,IBS_10_90,1.5:1/5d
USB,251,41.0,4.74,-15.933,-7.45,-1869.88,0.21,0.1,IBS_10_90,1.5:1/5d
UNH,238,39.1,4.86,-7.246,-2.515,-598.67,0.43,0.095,IBS_10_90,1.5:1/5d
JNJ,250,32.8,2.103,-10.222,-6.18,-1544.88,0.1,0.099,IBS_10_90,1.5:1/5d
LLY,261,36.8,3.979,-5.736,-2.163,-564.49,0.4,0.104,IBS_10_90,1.5:1/5d
PFE,233,37.8,3.274,-18.11,-10.034,-2337.86,0.11,0.092,IBS_10_90,1.5:1/5d
ABBV,232,38.4,3.345,-13.833,-7.243,-1680.49,0.15,0.092,IBS_10_90,1.5:1/5d
MRK,236,39.4,2.724,-14.332,-7.611,-1796.17,0.12,0.094,IBS_10_90,1.5:1/5d
TMO,289,42.6,3.455,-2.442,0.068,19.69,1.05,0.115,IBS_10_90,1.5:1/5d
ABT,259,39.0,3.375,-7.806,-3.446,-892.52,0.28,0.103,IBS_10_90,1.5:1/5d
DHR,277,35.0,3.23,-10.525,-5.709,-1581.27,0.17,0.11,IBS_10_90,1.5:1/5d
BMY,234,36.8,2.874,-13.024,-7.181,-1680.41,0.13,0.093,IBS_10_90,1.5:1/5d
WMT,254,35.4,2.322,-131.605,-84.151,-21374.35,0.01,0.101,IBS_10_90,1.5:1/5d
PG,257,40.1,2.606,-10.306,-5.131,-1318.67,0.17,0.102,IBS_10_90,1.5:1/5d
KO,260,36.5,2.561,-11.077,-6.094,-1584.43,0.13,0.104,IBS_10_90,1.5:1/5d
PEP,252,36.5,2.134,-12.632,-7.241,-1824.75,0.1,0.1,IBS_10_90,1.5:1/5d
COST,274,33.2,2.968,-5.899,-2.954,-809.5,0.25,0.109,IBS_10_90,1.5:1/5d
HD,279,34.1,4.074,-10.687,-5.66,-1579.28,0.2,0.111,IBS_10_90,1.5:1/5d
MCD,263,41.8,2.958,-8.247,-3.56,-936.29,0.26,0.105,IBS_10_90,1.5:1/5d
NKE,275,37.1,5.092,-6.622,-2.277,-626.27,0.45,0.109,IBS_10_90,1.5:1/5d
SBUX,246,36.6,4.232,-8.793,-4.027,-990.74,0.28,0.098,IBS_10_90,1.5:1/5d
TGT,257,35.0,5.762,-11.063,-5.171,-1328.91,0.28,0.102,IBS_10_90,1.5:1/5d
CAT,264,34.5,5.284,-8.163,-3.528,-931.31,0.34,0.105,IBS_10_90,1.5:1/5d
GE,245,41.6,4.52,-28.352,-14.667,-3593.29,0.11,0.098,IBS_10_90,1.5:1/5d
HON,257,35.4,4.276,-7.676,-3.444,-885.04,0.31,0.102,IBS_10_90,1.5:1/5d
UNP,241,43.2,4.216,-8.133,-2.804,-675.71,0.39,0.096,IBS_10_90,1.5:1/5d
BA,292,41.8,3.986,-3.556,-0.405,-118.25,0.8,0.117,IBS_10_90,1.5:1/5d
RTX,274,38.0,4.111,-27.302,-15.379,-4213.79,0.09,0.109,IBS_10_90,1.5:1/5d
DE,254,37.0,5.474,-5.801,-1.628,-413.62,0.55,0.101,IBS_10_90,1.5:1/5d
LMT,243,37.9,2.303,-10.64,-5.74,-1394.84,0.13,0.097,IBS_10_90,1.5:1/5d
MMM,275,34.5,2.972,-26.911,-16.588,-4561.69,0.06,0.109,IBS_10_90,1.5:1/5d
FDX,251,35.9,6.074,-8.175,-3.066,-769.62,0.42,0.1,IBS_10_90,1.5:1/5d
XOM,269,40.9,3.98,-17.446,-8.685,-2336.19,0.16,0.107,IBS_10_90,1.5:1/5d
CVX,238,42.9,3.65,-14.587,-6.771,-1611.59,0.19,0.095,IBS_10_90,1.5:1/5d
COP,260,36.9,5.075,-12.657,-6.11,-1588.54,0.23,0.103,IBS_10_90,1.5:1/5d
SLB,230,45.2,8.019,-9.88,-1.787,-410.9,0.67,0.091,IBS_10_90,1.5:1/5d
EOG,250,37.6,7.531,-15.108,-6.596,-1648.93,0.3,0.099,IBS_10_90,1.5:1/5d
MPC,260,34.6,7.464,-10.974,-4.591,-1193.79,0.36,0.103,IBS_10_90,1.5:1/5d
VLO,250,34.4,6.944,-14.305,-6.996,-1748.88,0.25,0.1,IBS_10_90,1.5:1/5d
PSX,272,37.9,5.27,-14.281,-6.878,-1870.71,0.22,0.108,IBS_10_90,1.5:1/5d
OXY,257,42.4,7.49,-7.33,-1.044,-268.33,0.75,0.103,IBS_10_90,1.5:1/5d
HAL,236,39.8,9.579,-8.838,-1.503,-354.65,0.72,0.094,IBS_10_90,1.5:1/5d
NFLX,271,28.8,5.894,-607.415,-430.891,-116771.44,0.0,0.107,IBS_10_90,1.5:1/5d
DIS,283,43.1,4.08,-3.167,-0.043,-12.15,0.98,0.112,IBS_10_90,1.5:1/5d
CMCSA,240,38.8,3.621,-16.514,-8.712,-2090.79,0.14,0.095,IBS_10_90,1.5:1/5d
T,240,42.1,2.971,-44.945,-24.78,-5947.32,0.05,0.095,IBS_10_90,1.5:1/5d
VZ,248,31.5,2.661,-21.076,-13.61,-3375.35,0.06,0.099,IBS_10_90,1.5:1/5d
TMUS,255,40.4,4.03,-3.789,-0.631,-160.8,0.72,0.101,IBS_10_90,1.5:1/5d
CHTR,240,51.7,3.053,-2.67,0.287,68.89,1.22,0.095,IBS_10_90,1.5:1/5d
EA,250,44.8,4.122,-3.098,0.137,34.19,1.08,0.099,IBS_10_90,1.5:1/5d
ATVI,225,43.1,3.488,-3.291,-0.369,-82.96,0.8,0.108,IBS_10_90,1.5:1/5d
WBD,272,42.6,4.81,-3.657,-0.046,-12.48,0.98,0.108,IBS_10_90,1.5:1/5d
LIN,259,40.2,4.332,-5.393,-1.488,-385.47,0.54,0.103,IBS_10_90,1.5:1/5d
APD,271,38.7,4.181,-9.596,-4.258,-1153.9,0.28,0.108,IBS_10_90,1.5:1/5d
SHW,275,39.6,3.418,-77.482,-45.416,-12489.49,0.03,0.109,IBS_10_90,1.5:1/5d
ECL,269,42.4,3.934,-4.569,-0.966,-259.72,0.63,0.107,IBS_10_90,1.5:1/5d
DD,247,36.4,5.715,-94.731,-58.131,-14358.46,0.03,0.098,IBS_10_90,1.5:1/5d
NEM,266,35.0,5.677,-12.659,-6.248,-1662.06,0.24,0.106,IBS_10_90,1.5:1/5d
FCX,250,40.8,7.459,-6.847,-1.01,-252.59,0.75,0.099,IBS_10_90,1.5:1/5d
NUE,254,39.4,6.951,-7.173,-1.613,-409.6,0.63,0.101,IBS_10_90,1.5:1/5d
DOW,206,40.3,6.068,-19.271,-9.062,-1866.74,0.21,0.099,IBS_10_90,1.5:1/5d
