sharpe,cagr,max_dd,calmar,n_trades,win_rate,profit_factor,avg_win,avg_loss,avg_hold_days,total_return,final_equity,symbol,turnover_annual,signal_id,signal_name,signal_family,signal_speed
0.799,2.61,8.54,0.305,95,13.7,5.59,5901.0,-1056.0,23.5,19.64,598192.0,GC,40.18,SE-03,Price>EMA(100),SE,slow
0.132,0.33,6.12,0.054,71,28.2,2.7,4808.0,-1781.0,39.7,2.74,513684.0,CL,22.96,MA-01,EMA(10/30),MA,fast
0.009,0.02,6.82,0.003,43,30.2,2.06,5018.0,-2442.0,64.3,0.18,500917.0,CL,17.81,MA-02,EMA(20/50),MA,medium
-0.053,-0.13,7.62,-0.017,13,38.5,1.63,11710.0,-7177.0,165.8,-1.06,494724.0,CL,10.33,MA-03,SMA(50/200),MA,slow
-0.048,-0.12,5.24,-0.023,43,25.6,2.28,5123.0,-2245.0,64.3,-1.0,495019.0,CL,17.75,MA-04,EMA(10/100),MA,asymmetric
-0.198,-0.51,9.24,-0.055,138,31.9,1.8,3357.0,-1861.0,20.5,-4.08,479594.0,CL,40.66,MA-05,Hull(20/50),MA,fast
0.492,1.2,3.01,0.398,195,37.4,2.23,2185.0,-981.0,14.8,10.24,551225.0,CL,52.36,TS-01,TSMOM(21d),TS,fast
-0.193,-0.5,9.36,-0.053,143,30.8,1.74,2092.0,-1202.0,19.1,-3.98,480083.0,CL,41.97,TS-02,TSMOM(63d),TS,medium
-0.222,-0.56,8.19,-0.069,83,24.1,2.13,2987.0,-1401.0,32.3,-4.5,477477.0,CL,27.75,TS-03,TSMOM(126d),TS,medium
0.155,0.37,6.61,0.056,48,37.5,1.95,2607.0,-1340.0,46.4,3.05,515240.0,CL,19.03,TS-04,TSMOM(252d),TS,slow
0.096,0.22,4.6,0.048,122,29.5,2.28,2315.0,-1015.0,19.0,1.82,509121.0,CL,43.06,TS-05,TSMOM(blend),TS,blend
0.453,0.98,4.29,0.228,60,40.0,2.07,3760.0,-1814.0,35.2,8.29,541457.0,CL,25.2,BR-01,Donchian(20/10),BR,medium
0.036,0.07,6.49,0.011,31,25.8,2.81,7397.0,-2634.0,54.3,0.59,502950.0,CL,18.71,BR-02,Donchian(55/20),BR,slow
0.097,0.19,6.43,0.03,72,34.7,1.71,2937.0,-1723.0,22.9,1.57,507839.0,CL,35.98,BR-03,"ATR Channel(20,2)",BR,medium
-0.422,-1.12,13.48,-0.083,186,32.8,1.59,2688.0,-1687.0,15.6,-8.79,456052.0,CL,52.25,MC-01,MACD(12/26/9),MC,medium
-0.082,-0.21,6.49,-0.032,272,29.8,2.34,2586.0,-1106.0,10.7,-1.7,491498.0,CL,74.16,MC-02,MACD(8/21/5),MC,fast
0.027,0.07,7.11,0.01,132,34.8,1.83,3145.0,-1723.0,22.0,0.57,502854.0,CL,37.43,MC-03,MACD(16/36/12),MC,slow
0.05,0.13,7.9,0.016,276,23.9,3.06,2421.0,-791.0,10.5,1.04,505193.0,CL,72.43,SE-01,Price>EMA(20),SE,fast
0.066,0.17,5.64,0.03,179,19.0,4.12,3396.0,-825.0,15.7,1.38,506913.0,CL,49.41,SE-02,Price>EMA(50),SE,medium
-0.051,-0.13,8.66,-0.015,119,18.5,3.65,3497.0,-957.0,23.7,-1.07,494673.0,CL,38.1,SE-03,Price>EMA(100),SE,slow
0.151,0.41,5.95,0.07,69,31.9,2.35,4636.0,-1972.0,41.8,3.41,517032.0,6E,24.16,MA-01,EMA(10/30),MA,fast
-0.079,-0.22,9.06,-0.024,39,28.2,2.34,7400.0,-3156.0,74.2,-1.77,491156.0,6E,17.54,MA-02,EMA(20/50),MA,medium
-0.048,-0.13,12.08,-0.011,11,27.3,2.32,14509.0,-6258.0,216.2,-1.04,494799.0,6E,10.49,MA-03,SMA(50/200),MA,slow
0.073,0.2,6.11,0.033,33,27.3,2.82,7759.0,-2749.0,87.4,1.63,508159.0,6E,16.39,MA-04,EMA(10/100),MA,asymmetric
-0.119,-0.33,9.48,-0.035,113,38.9,1.34,3198.0,-2387.0,24.7,-2.66,486696.0,6E,35.88,MA-05,Hull(20/50),MA,fast
-0.165,-0.47,8.8,-0.053,206,33.0,1.65,2029.0,-1228.0,13.8,-3.71,481437.0,6E,58.19,TS-01,TSMOM(21d),TS,fast
0.021,0.06,6.0,0.01,128,33.6,1.96,2737.0,-1394.0,22.0,0.48,502390.0,6E,43.01,TS-02,TSMOM(63d),TS,medium
0.129,0.34,10.11,0.034,61,26.2,3.2,4924.0,-1537.0,44.8,2.83,514129.0,6E,24.81,TS-03,TSMOM(126d),TS,medium
0.072,0.19,7.46,0.025,45,35.6,1.45,2329.0,-1606.0,50.8,1.53,507656.0,6E,20.69,TS-04,TSMOM(252d),TS,slow
0.13,0.33,6.25,0.053,109,35.8,1.96,2053.0,-1045.0,22.3,2.69,513453.0,6E,42.04,TS-05,TSMOM(blend),TS,blend
-0.617,-1.5,14.11,-0.106,82,30.5,1.25,2820.0,-2263.0,25.0,-11.51,442462.0,6E,35.78,BR-01,Donchian(20/10),BR,medium
-0.407,-0.9,11.8,-0.076,36,27.8,1.42,4324.0,-3054.0,48.2,-7.06,464682.0,6E,23.34,BR-02,Donchian(55/20),BR,slow
-0.315,-0.68,7.19,-0.095,83,37.3,1.18,2410.0,-2042.0,20.0,-5.38,473117.0,6E,42.69,BR-03,"ATR Channel(20,2)",BR,medium
-0.371,-1.07,9.58,-0.112,181,29.3,1.82,2683.0,-1477.0,15.9,-8.36,458177.0,6E,50.42,MC-01,MACD(12/26/9),MC,medium
-0.39,-1.13,11.77,-0.096,262,30.5,1.88,2435.0,-1292.0,11.1,-8.8,456007.0,6E,70.79,MC-02,MACD(8/21/5),MC,fast
-0.146,-0.41,5.86,-0.07,133,30.1,2.08,3524.0,-1696.0,21.6,-3.29,483547.0,6E,39.4,MC-03,MACD(16/36/12),MC,slow
-0.421,-1.23,11.27,-0.109,307,22.8,2.58,2259.0,-874.0,9.4,-9.5,452518.0,6E,82.54,SE-01,Price>EMA(20),SE,fast
0.08,0.22,6.59,0.034,167,22.2,3.64,3400.0,-935.0,17.2,1.81,509062.0,6E,49.08,SE-02,Price>EMA(50),SE,medium
0.245,0.67,6.46,0.103,95,20.0,5.47,5004.0,-915.0,30.3,5.52,527582.0,6E,32.78,SE-03,Price>EMA(100),SE,slow
