sharpe,cagr_pct,max_dd_pct,calmar,realized_vol_pct,total_return_pct,final_equity,skew,kurtosis,n_years,allocation,vol_method,vol_window,vol_target,rebalance_freq,signal_id,signal_name,test,rebal_threshold
0.862,4.66,6.02,0.774,6.23,32.73,663663.0,-0.227,2.231,6.2,equal_weight,atr,20,0.12,daily,MA-03,SMA(50/200),allocation,
0.967,5.03,5.17,0.972,6.18,38.96,694784.0,-0.088,2.657,6.7,equal_weight,atr,20,0.12,daily,MA-02,EMA(20/50),allocation,
0.915,4.42,7.03,0.628,6.04,33.6,668009.0,0.009,1.989,6.7,equal_weight,atr,20,0.12,daily,SE-02,Price>EMA(50),allocation,
0.835,4.62,7.54,0.613,6.58,31.56,657801.0,-0.05,2.508,6.1,inverse_vol,atr,20,0.12,daily,TS-04,TSMOM(252d),allocation,
0.927,5.67,7.02,0.807,7.5,44.69,723469.0,-0.008,2.95,6.7,inverse_vol,atr,20,0.12,daily,MA-04,EMA(10/100),allocation,
0.716,4.39,12.64,0.347,7.11,30.61,653040.0,-0.154,3.146,6.2,inverse_vol,atr,20,0.12,daily,MA-03,SMA(50/200),allocation,
0.908,5.27,6.55,0.806,7.03,41.13,705642.0,0.071,2.844,6.7,inverse_vol,atr,20,0.12,daily,MA-02,EMA(20/50),allocation,
0.664,3.28,6.77,0.485,6.65,24.17,620872.0,0.096,2.07,6.7,inverse_vol,atr,20,0.12,daily,SE-02,Price>EMA(50),allocation,
0.631,4.52,9.96,0.454,8.69,30.76,653814.0,0.254,3.754,6.1,hrp,atr,20,0.12,daily,TS-04,TSMOM(252d),allocation,
0.767,6.05,13.32,0.454,9.93,48.25,741247.0,0.296,3.971,6.7,hrp,atr,20,0.12,daily,MA-04,EMA(10/100),allocation,
0.542,4.21,19.87,0.212,9.13,29.27,646331.0,0.186,3.804,6.2,hrp,atr,20,0.12,daily,MA-03,SMA(50/200),allocation,
0.721,5.35,10.56,0.507,9.17,41.84,709185.0,0.272,4.215,6.7,hrp,atr,20,0.12,daily,MA-02,EMA(20/50),allocation,
0.393,1.99,10.71,0.186,8.24,14.14,570682.0,0.277,4.082,6.7,hrp,atr,20,0.12,daily,SE-02,Price>EMA(50),allocation,
1.034,3.4,4.27,0.795,3.69,22.46,612285.0,-0.153,1.793,6.1,equal_weight,atr,20,0.08,daily,TS-04,TSMOM(252d),vol_target,
1.028,3.65,3.57,1.024,4.05,27.2,636000.0,-0.22,2.361,6.7,equal_weight,atr,20,0.08,daily,MA-04,EMA(10/100),vol_target,
0.876,3.12,4.04,0.772,3.94,21.04,605201.0,-0.219,2.07,6.2,equal_weight,atr,20,0.08,daily,MA-03,SMA(50/200),vol_target,
0.964,3.36,3.46,0.972,3.94,24.83,624144.0,-0.095,2.565,6.7,equal_weight,atr,20,0.08,daily,MA-02,EMA(20/50),vol_target,
0.921,2.96,4.74,0.624,3.85,21.58,607923.0,0.028,1.937,6.7,equal_weight,atr,20,0.08,daily,SE-02,Price>EMA(50),vol_target,
1.03,4.24,5.33,0.796,4.73,28.66,643318.0,-0.15,1.832,6.1,equal_weight,atr,20,0.1,daily,TS-04,TSMOM(252d),vol_target,
1.024,4.57,4.44,1.027,5.22,34.88,674390.0,-0.214,2.426,6.7,equal_weight,atr,20,0.1,daily,MA-04,EMA(10/100),vol_target,
0.869,3.89,5.03,0.773,5.05,26.78,633915.0,-0.223,2.148,6.2,equal_weight,atr,20,0.1,daily,MA-03,SMA(50/200),vol_target,
0.966,4.2,4.32,0.972,5.04,31.74,658706.0,-0.092,2.606,6.7,equal_weight,atr,20,0.1,daily,MA-02,EMA(20/50),vol_target,
0.918,3.69,5.89,0.626,4.92,27.49,637430.0,0.019,1.96,6.7,equal_weight,atr,20,0.1,daily,SE-02,Price>EMA(50),vol_target,
1.026,5.09,6.38,0.798,5.82,35.12,675620.0,-0.147,1.875,6.1,equal_weight,atr,20,0.12,daily,TS-04,TSMOM(252d),vol_target,
1.019,5.48,5.31,1.03,6.46,42.94,714711.0,-0.209,2.498,6.7,equal_weight,atr,20,0.12,daily,MA-04,EMA(10/100),vol_target,
