strategy,n_trades,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades_per_year,turnover_pct,n_stocks_traded,sub_periods
SMAdev-1.5_RSI3_30_hold3,2250,51.47,3.418,-3.658,-1.87,-0.17,-0.019,-0.01,-20.8,199.3,996.5,115,"{'2014-2017': {'sharpe': 0.042, 'return_pct': 0.17}, '2018-2021': {'sharpe': -0.311, 'return_pct': -8.08}, '2022-2024': {'sharpe': 0.454, 'return_pct': 4.86}}"
SMAdev-1.5_RSI3_35_hold2,2748,52.55,2.878,-2.902,8.84,0.75,0.214,0.16,-15.5,243.3,1216.6,115,"{'2014-2017': {'sharpe': 0.185, 'return_pct': 0.92}, '2018-2021': {'sharpe': 0.239, 'return_pct': 4.99}, '2022-2024': {'sharpe': 0.192, 'return_pct': 1.77}}"
SMAdev-1.5_RSI3_35_hold3,2340,51.92,3.42,-3.701,-1.21,-0.11,-0.004,-0.002,-21.23,207.3,1036.3,115,"{'2014-2017': {'sharpe': 0.061, 'return_pct': 0.26}, '2018-2021': {'sharpe': -0.265, 'return_pct': -7.24}, '2022-2024': {'sharpe': 0.449, 'return_pct': 4.82}}"
SMAdev-2.0_RSI3_30_hold2,1537,51.27,3.188,-3.023,6.01,0.52,0.216,0.128,-10.53,136.1,680.5,86,"{'2014-2017': {'sharpe': 0.208, 'return_pct': 0.69}, '2018-2021': {'sharpe': 0.172, 'return_pct': 2.33}, '2022-2024': {'sharpe': 0.384, 'return_pct': 2.61}}"
SMAdev-2.0_RSI3_30_hold3,1321,51.78,3.712,-3.756,3.35,0.29,0.126,0.067,-12.05,117.0,585.0,86,"{'2014-2017': {'sharpe': 0.318, 'return_pct': 1.23}, '2018-2021': {'sharpe': -0.083, 'return_pct': -1.44}, '2022-2024': {'sharpe': 0.334, 'return_pct': 2.54}}"
SMAdev-2.0_RSI3_35_hold2,1603,51.22,3.198,-3.021,6.37,0.55,0.214,0.135,-11.44,141.9,709.7,86,"{'2014-2017': {'sharpe': 0.145, 'return_pct': 0.47}, '2018-2021': {'sharpe': 0.209, 'return_pct': 3.15}, '2022-2024': {'sharpe': 0.343, 'return_pct': 2.35}}"
SMAdev-2.0_RSI3_35_hold3,1374,51.89,3.762,-3.784,4.17,0.36,0.143,0.077,-12.95,121.7,608.5,86,"{'2014-2017': {'sharpe': 0.331, 'return_pct': 1.3}, '2018-2021': {'sharpe': -0.014, 'return_pct': -0.55}, '2022-2024': {'sharpe': 0.302, 'return_pct': 2.36}}"
WR_-90_hold1,194516,47.98,1.125,-1.176,-98.63,-31.54,-0.849,-0.894,-98.61,17175.2,85876.0,166,"{'2014-2017': {'sharpe': -1.184, 'return_pct': -75.58}, '2018-2021': {'sharpe': -0.44, 'return_pct': -75.62}, '2022-2024': {'sharpe': -1.424, 'return_pct': -70.1}}"
WR_-90_hold2,130895,50.64,1.609,-1.659,-54.56,-6.73,-0.034,-0.035,-79.35,11561.7,57808.5,166,"{'2014-2017': {'sharpe': -0.331, 'return_pct': -47.49}, '2018-2021': {'sharpe': 0.508, 'return_pct': 63.53}, '2022-2024': {'sharpe': -0.645, 'return_pct': -47.41}}"
WR_-95_hold1,191389,47.9,1.118,-1.17,-98.59,-31.37,-0.904,-0.965,-98.56,16899.1,84495.5,166,"{'2014-2017': {'sharpe': -1.208, 'return_pct': -75.41}, '2018-2021': {'sharpe': -0.463, 'return_pct': -73.59}, '2022-2024': {'sharpe': -1.541, 'return_pct': -71.75}}"
WR_-95_hold2,128860,50.52,1.595,-1.653,-63.53,-8.52,-0.104,-0.108,-79.47,11382.0,56909.8,166,"{'2014-2017': {'sharpe': -0.357, 'return_pct': -48.15}, '2018-2021': {'sharpe': 0.364, 'return_pct': 30.73}, '2022-2024': {'sharpe': -0.642, 'return_pct': -46.3}}"
Stoch_10_hold1,194516,47.98,1.125,-1.176,-98.63,-31.54,-0.849,-0.894,-98.61,17175.2,85876.0,166,"{'2014-2017': {'sharpe': -1.184, 'return_pct': -75.58}, '2018-2021': {'sharpe': -0.44, 'return_pct': -75.62}, '2022-2024': {'sharpe': -1.424, 'return_pct': -70.1}}"
Stoch_10_hold2,130895,50.64,1.609,-1.659,-54.56,-6.73,-0.034,-0.035,-79.35,11561.7,57808.5,166,"{'2014-2017': {'sharpe': -0.331, 'return_pct': -47.49}, '2018-2021': {'sharpe': 0.508, 'return_pct': 63.53}, '2022-2024': {'sharpe': -0.645, 'return_pct': -47.41}}"
Stoch_10_hold3,98944,51.55,2.017,-2.044,38.23,2.9,0.272,0.286,-76.76,8742.6,43713.0,166,"{'2014-2017': {'sharpe': 0.345, 'return_pct': 24.27}, '2018-2021': {'sharpe': 0.458, 'return_pct': 53.51}, '2022-2024': {'sharpe': -0.264, 'return_pct': -26.39}}"
Stoch_15_hold1,197380,48.03,1.133,-1.181,-98.6,-31.4,-0.806,-0.847,-98.58,17428.1,87140.4,166,"{'2014-2017': {'sharpe': -1.207, 'return_pct': -76.67}, '2018-2021': {'sharpe': -0.359, 'return_pct': -72.96}, '2022-2024': {'sharpe': -1.384, 'return_pct': -71.11}}"
Stoch_15_hold2,132788,50.76,1.617,-1.666,-48.34,-5.67,0.007,0.007,-77.02,11728.9,58644.5,166,"{'2014-2017': {'sharpe': -0.282, 'return_pct': -44.68}, '2018-2021': {'sharpe': 0.534, 'return_pct': 71.26}, '2022-2024': {'sharpe': -0.587, 'return_pct': -46.0}}"
Stoch_15_hold3,100321,51.58,2.034,-2.05,53.2,3.84,0.3,0.315,-78.24,8864.3,44321.3,166,"{'2014-2017': {'sharpe': 0.322, 'return_pct': 20.59}, '2018-2021': {'sharpe': 0.474, 'return_pct': 57.49}, '2022-2024': {'sharpe': -0.118, 'return_pct': -18.4}}"
Stoch_20_hold1,200017,48.03,1.139,-1.187,-98.76,-32.14,-0.788,-0.823,-98.73,17660.9,88304.6,166,"{'2014-2017': {'sharpe': -1.218, 'return_pct': -77.38}, '2018-2021': {'sharpe': -0.351, 'return_pct': -75.13}, '2022-2024': {'sharpe': -1.352, 'return_pct': -71.35}}"
Stoch_20_hold2,134458,50.77,1.627,-1.672,-46.75,-5.41,0.024,0.025,-77.2,11876.4,59382.1,166,"{'2014-2017': {'sharpe': -0.27, 'return_pct': -44.23}, '2018-2021': {'sharpe': 0.517, 'return_pct': 67.67}, '2022-2024': {'sharpe': -0.507, 'return_pct': -43.81}}"
Stoch_20_hold3,101530,51.58,2.05,-2.058,56.31,4.03,0.311,0.325,-80.77,8971.1,44855.5,166,"{'2014-2017': {'sharpe': 0.288, 'return_pct': 15.09}, '2018-2021': {'sharpe': 0.481, 'return_pct': 57.48}, '2022-2024': {'sharpe': -0.031, 'return_pct': -12.91}}"
CCI_-200_hold2,6518,51.27,2.166,-2.228,1.94,0.17,0.059,0.045,-15.89,576.9,2884.7,166,"{'2014-2017': {'sharpe': 0.19, 'return_pct': 3.95}, '2018-2021': {'sharpe': 0.054, 'return_pct': 0.55}, '2022-2024': {'sharpe': -0.377, 'return_pct': -4.47}}"
CCI_-200_hold3,5963,52.47,2.685,-2.68,19.04,1.56,0.256,0.201,-14.0,528.0,2640.0,166,"{'2014-2017': {'sharpe': 0.486, 'return_pct': 11.88}, '2018-2021': {'sharpe': 0.33, 'return_pct': 11.12}, '2022-2024': {'sharpe': -0.538, 'return_pct': -6.67}}"
CCI_-150_hold2,16441,50.98,1.978,-2.146,-21.47,-2.12,-0.154,-0.134,-36.9,1455.3,7276.3,166,"{'2014-2017': {'sharpe': 0.175, 'return_pct': 4.72}, '2018-2021': {'sharpe': -0.241, 'return_pct': -14.9}, '2022-2024': {'sharpe': -0.632, 'return_pct': -14.45}}"
CCI_-150_hold3,14130,51.81,2.488,-2.707,-13.78,-1.3,-0.038,-0.03,-46.24,1251.1,6255.7,166,"{'2014-2017': {'sharpe': 0.283, 'return_pct': 8.89}, '2018-2021': {'sharpe': -0.14, 'return_pct': -15.35}, '2022-2024': {'sharpe': -0.496, 'return_pct': -11.68}}"
CCI_-100_hold2,33613,51.72,1.925,-2.07,-15.21,-1.45,-0.018,-0.018,-59.18,2975.2,14876.1,166,"{'2014-2017': {'sharpe': 0.452, 'return_pct': 19.57}, '2018-2021': {'sharpe': -0.206, 'return_pct': -21.19}, '2022-2024': {'sharpe': -0.257, 'return_pct': -12.46}}"
CCI_-100_hold3,27670,52.29,2.439,-2.533,33.43,2.59,0.235,0.223,-62.88,2450.0,12250.2,166,"{'2014-2017': {'sharpe': 0.702, 'return_pct': 36.27}, '2018-2021': {'sharpe': 0.022, 'return_pct': -8.72}, '2022-2024': {'sharpe': 0.008, 'return_pct': -2.31}}"
Down3_IBS0.25_hold2,16612,51.22,1.934,-1.921,17.33,1.42,0.186,0.167,-33.62,1461.7,7308.4,166,"{'2014-2017': {'sharpe': -0.069, 'return_pct': -5.37}, '2018-2021': {'sharpe': 0.271, 'return_pct': 10.14}, '2022-2024': {'sharpe': 0.31, 'return_pct': 8.11}}"
Down3_IBS0.3_hold2,18443,51.16,1.905,-1.904,14.84,1.22,0.166,0.155,-36.46,1622.8,8113.9,166,"{'2014-2017': {'sharpe': -0.063, 'return_pct': -5.28}, '2018-2021': {'sharpe': 0.211, 'return_pct': 7.36}, '2022-2024': {'sharpe': 0.272, 'return_pct': 7.1}}"
Down4_IBS0.25_hold2,7784,51.82,2.023,-1.938,20.93,1.69,0.254,0.221,-14.54,685.1,3425.7,166,"{'2014-2017': {'sharpe': 0.075, 'return_pct': 1.08}, '2018-2021': {'sharpe': 0.32, 'return_pct': 10.94}, '2022-2024': {'sharpe': 0.338, 'return_pct': 5.77}}"
Down4_IBS0.3_hold2,8621,52.0,1.998,-1.92,24.5,1.95,0.284,0.252,-14.56,758.8,3794.1,166,"{'2014-2017': {'sharpe': 0.002, 'return_pct': -1.0}, '2018-2021': {'sharpe': 0.388, 'return_pct': 14.42}, '2022-2024': {'sharpe': 0.415, 'return_pct': 7.41}}"
Down5_IBS0.25_hold2,3709,54.65,2.197,-1.845,37.78,2.86,0.528,0.762,-5.16,326.6,1632.9,166,"{'2014-2017': {'sharpe': 0.464, 'return_pct': 14.22}, '2018-2021': {'sharpe': 0.604, 'return_pct': 9.07}, '2022-2024': {'sharpe': 0.827, 'return_pct': 9.66}}"
Down5_IBS0.3_hold2,4096,54.79,2.19,-1.855,42.25,3.15,0.569,0.795,-5.69,360.7,1803.3,166,"{'2014-2017': {'sharpe': 0.524, 'return_pct': 16.33}, '2018-2021': {'sharpe': 0.571, 'return_pct': 9.2}, '2022-2024': {'sharpe': 0.844, 'return_pct': 10.8}}"
MFI_15_hold2,1613,55.49,2.221,-2.281,8.91,0.76,0.394,0.287,-5.52,142.5,712.4,166,"{'2014-2017': {'sharpe': 0.601, 'return_pct': 2.82}, '2018-2021': {'sharpe': 0.317, 'return_pct': 3.13}, '2022-2024': {'sharpe': 0.363, 'return_pct': 2.24}}"
MFI_15_hold3,1397,56.41,2.722,-2.881,9.94,0.84,0.389,0.216,-8.27,123.4,617.2,166,"{'2014-2017': {'sharpe': 0.367, 'return_pct': 1.75}, '2018-2021': {'sharpe': 0.25, 'return_pct': 2.91}, '2022-2024': {'sharpe': 0.625, 'return_pct': 3.94}}"
MFI_20_hold2,4147,53.34,2.22,-2.196,17.05,1.4,0.384,0.378,-13.98,366.3,1831.5,166,"{'2014-2017': {'sharpe': 0.603, 'return_pct': 5.51}, '2018-2021': {'sharpe': 0.085, 'return_pct': 1.13}, '2022-2024': {'sharpe': 0.614, 'return_pct': 8.78}}"
MFI_20_hold3,3600,54.83,2.753,-2.835,21.47,1.73,0.405,0.279,-20.4,318.1,1590.5,166,"{'2014-2017': {'sharpe': 0.988, 'return_pct': 10.02}, '2018-2021': {'sharpe': 0.064, 'return_pct': 0.83}, '2022-2024': {'sharpe': 0.636, 'return_pct': 8.29}}"
MFI_25_hold2,8854,52.69,2.076,-2.131,18.38,1.5,0.278,0.29,-23.84,782.1,3910.3,166,"{'2014-2017': {'sharpe': 0.575, 'return_pct': 7.46}, '2018-2021': {'sharpe': 0.203, 'return_pct': 5.25}, '2022-2024': {'sharpe': 0.209, 'return_pct': 3.65}}"
MFI_25_hold3,7489,53.96,2.633,-2.646,42.1,3.15,0.474,0.432,-30.03,661.7,3308.6,166,"{'2014-2017': {'sharpe': 0.874, 'return_pct': 14.2}, '2018-2021': {'sharpe': 0.295, 'return_pct': 10.29}, '2022-2024': {'sharpe': 0.599, 'return_pct': 11.54}}"
RSI14_20_RSI3_35_hold3,3916,54.98,2.685,-3.096,6.32,0.54,0.123,0.072,-27.25,346.0,1730.1,166,"{'2014-2017': {'sharpe': 0.87, 'return_pct': 12.67}, '2018-2021': {'sharpe': -0.288, 'return_pct': -10.43}, '2022-2024': {'sharpe': 0.305, 'return_pct': 3.69}}"
RSI14_20_RSI3_40_hold3,4042,55.17,2.704,-3.071,10.03,0.85,0.172,0.102,-27.53,357.1,1785.7,166,"{'2014-2017': {'sharpe': 0.954, 'return_pct': 14.53}, '2018-2021': {'sharpe': -0.316, 'return_pct': -11.59}, '2022-2024': {'sharpe': 0.523, 'return_pct': 7.12}}"
RSI14_25_RSI3_35_hold3,7339,53.56,2.632,-2.849,12.71,1.06,0.17,0.119,-39.72,648.5,3242.3,166,"{'2014-2017': {'sharpe': 1.177, 'return_pct': 26.87}, '2018-2021': {'sharpe': -0.309, 'return_pct': -16.29}, '2022-2024': {'sharpe': 0.181, 'return_pct': 2.79}}"
RSI14_25_RSI3_40_hold3,7613,53.88,2.631,-2.826,19.33,1.57,0.23,0.169,-38.91,672.7,3363.4,166,"{'2014-2017': {'sharpe': 1.16, 'return_pct': 26.69}, '2018-2021': {'sharpe': -0.301, 'return_pct': -15.71}, '2022-2024': {'sharpe': 0.436, 'return_pct': 8.09}}"
RSI14_30_RSI3_35_hold3,12267,53.31,2.565,-2.695,29.55,2.31,0.259,0.197,-50.05,1083.9,5419.5,166,"{'2014-2017': {'sharpe': 1.194, 'return_pct': 35.24}, '2018-2021': {'sharpe': -0.194, 'return_pct': -17.13}, '2022-2024': {'sharpe': 0.51, 'return_pct': 12.81}}"
RSI14_30_RSI3_40_hold3,12800,53.48,2.561,-2.69,35.3,2.71,0.292,0.23,-50.06,1131.0,5655.0,166,"{'2014-2017': {'sharpe': 1.207, 'return_pct': 36.53}, '2018-2021': {'sharpe': -0.176, 'return_pct': -15.92}, '2022-2024': {'sharpe': 0.587, 'return_pct': 15.66}}"
Triple_IBS15_RSI3_25_BB2,6674,52.95,2.148,-2.285,7.06,0.61,0.115,0.093,-16.97,590.7,2953.7,166,"{'2014-2017': {'sharpe': 0.076, 'return_pct': 1.01}, '2018-2021': {'sharpe': 0.072, 'return_pct': 1.08}, '2022-2024': {'sharpe': 0.245, 'return_pct': 3.76}}"
Triple_IBS20_RSI3_30_SMA15,1639,53.87,3.087,-2.873,14.16,1.18,0.378,0.259,-9.04,145.1,725.6,111,"{'2014-2017': {'sharpe': -0.196, 'return_pct': -0.89}, '2018-2021': {'sharpe': 0.342, 'return_pct': 6.21}, '2022-2024': {'sharpe': 0.87, 'return_pct': 8.26}}"
