strategy,n_trades,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades_per_year,turnover_pct,n_stocks_traded,sub_periods
IBS0.15_RSI3_25_hold2,25382,52.0,1.936,-1.907,57.18,4.06,0.343,0.332,-34.95,2232.6,11162.8,166,"{'2014-2017': {'sharpe': -0.062, 'return_pct': -8.11}, '2018-2021': {'sharpe': 0.708, 'return_pct': 44.02}, '2022-2024': {'sharpe': 0.334, 'return_pct': 13.09}}"
IBS0.15_RSI3_25_hold3,23957,52.76,2.341,-2.354,77.72,5.19,0.393,0.339,-44.47,2107.9,10539.7,166,"{'2014-2017': {'sharpe': -0.029, 'return_pct': -5.71}, '2018-2021': {'sharpe': 0.709, 'return_pct': 60.3}, '2022-2024': {'sharpe': 0.263, 'return_pct': 9.58}}"
IBS0.15_RSI3_30_hold1,31665,49.95,1.345,-1.381,-21.25,-2.08,-0.11,-0.118,-42.16,2784.2,13921.1,166,"{'2014-2017': {'sharpe': -0.165, 'return_pct': -8.17}, '2018-2021': {'sharpe': 0.166, 'return_pct': 5.93}, '2022-2024': {'sharpe': -0.641, 'return_pct': -18.84}}"
IBS0.15_RSI3_30_hold2,28400,52.1,1.933,-1.9,72.59,4.92,0.384,0.379,-35.55,2498.0,12490.1,166,"{'2014-2017': {'sharpe': -0.031, 'return_pct': -6.61}, '2018-2021': {'sharpe': 0.752, 'return_pct': 52.66}, '2022-2024': {'sharpe': 0.339, 'return_pct': 14.11}}"
IBS0.15_RSI3_30_hold3,26643,53.02,2.354,-2.35,117.8,7.09,0.48,0.427,-42.84,2344.3,11721.4,166,"{'2014-2017': {'sharpe': 0.035, 'return_pct': -2.65}, '2018-2021': {'sharpe': 0.831, 'return_pct': 82.57}, '2022-2024': {'sharpe': 0.311, 'return_pct': 12.99}}"
IBS0.15_RSI3_35_hold1,35130,50.01,1.339,-1.378,-23.52,-2.33,-0.11,-0.119,-44.4,3088.9,15444.5,166,"{'2014-2017': {'sharpe': -0.213, 'return_pct': -10.38}, '2018-2021': {'sharpe': 0.161, 'return_pct': 5.62}, '2022-2024': {'sharpe': -0.57, 'return_pct': -18.38}}"
IBS0.15_RSI3_35_hold2,31344,52.15,1.912,-1.889,77.25,5.16,0.387,0.393,-35.84,2757.0,13784.8,166,"{'2014-2017': {'sharpe': -0.029, 'return_pct': -6.68}, '2018-2021': {'sharpe': 0.723, 'return_pct': 54.4}, '2022-2024': {'sharpe': 0.373, 'return_pct': 16.85}}"
IBS0.15_RSI3_35_hold3,29200,53.08,2.331,-2.338,127.67,7.51,0.486,0.446,-43.12,2569.3,12846.4,166,"{'2014-2017': {'sharpe': 0.027, 'return_pct': -3.38}, '2018-2021': {'sharpe': 0.839, 'return_pct': 88.1}, '2022-2024': {'sharpe': 0.345, 'return_pct': 15.92}}"
IBS0.2_RSI3_25_hold1,34568,49.48,1.315,-1.38,-38.64,-4.2,-0.29,-0.296,-48.04,3039.5,15197.4,166,"{'2014-2017': {'sharpe': -0.136, 'return_pct': -7.18}, '2018-2021': {'sharpe': -0.117, 'return_pct': -11.61}, '2022-2024': {'sharpe': -0.865, 'return_pct': -24.18}}"
IBS0.2_RSI3_25_hold2,30587,51.72,1.892,-1.891,43.33,3.22,0.281,0.285,-38.42,2690.4,13451.9,166,"{'2014-2017': {'sharpe': -0.076, 'return_pct': -8.94}, '2018-2021': {'sharpe': 0.634, 'return_pct': 42.77}, '2022-2024': {'sharpe': 0.176, 'return_pct': 4.81}}"
