indicator,signal,horizon,direction,n_stocks,total_signals,avg_return,median_return,avg_win_rate,avg_t_stat,pct_stocks_positive
momentum_ao,P10_long,fwd_1d,long,213,55895,0.11246338028169013,0.1157,52.56262910798122,0.6464084507042254,87.32394366197182
momentum_ao,P10_long,fwd_2d,long,213,55895,0.1998507042253521,0.1909,53.74323943661972,0.8960469483568075,84.03755868544602
momentum_ao,P10_long,fwd_3d,long,213,55895,0.30436291079812205,0.2846,54.44708920187793,1.0711079812206572,84.97652582159625
momentum_ao,P10_long,fwd_5d,long,213,55895,0.47225117370892017,0.4711,55.65262910798122,1.3634647887323943,85.91549295774648
momentum_ao,P20_long,fwd_1d,long,213,111781,0.10059906103286384,0.102,52.568591549295775,0.9602910798122066,87.79342723004694
momentum_ao,P20_long,fwd_2d,long,213,111781,0.18736619718309858,0.1847,53.801690140845075,1.3678779342723004,87.79342723004694
momentum_ao,P20_long,fwd_3d,long,213,111781,0.274081220657277,0.2846,54.43657276995305,1.6343521126760565,86.85446009389672
momentum_ao,P20_long,fwd_5d,long,213,111781,0.43313896713615024,0.4452,55.67225352112676,2.092774647887324,86.85446009389672
momentum_ao,P80_short,fwd_1d,short,213,111781,0.03798356807511737,0.0221,51.22708920187794,0.41445539906103285,65.72769953051643
momentum_ao,P80_short,fwd_2d,short,213,111781,0.0762962441314554,0.0396,51.97638497652582,0.5819295774647887,68.54460093896714
momentum_ao,P80_short,fwd_3d,short,213,111781,0.1213075117370892,0.0658,52.423568075117366,0.7410516431924883,70.4225352112676
momentum_ao,P80_short,fwd_5d,short,213,111781,0.1999112676056338,0.1113,52.93333333333333,0.9475211267605634,69.95305164319248
momentum_ao,P90_short,fwd_1d,short,213,55895,0.024723943661971833,0.0135,51.065821596244135,0.1369154929577465,58.21596244131455
momentum_ao,P90_short,fwd_2d,short,213,55895,0.05815305164319249,0.0385,51.69,0.2646995305164319,61.03286384976526
momentum_ao,P90_short,fwd_3d,short,213,55895,0.09881877934272301,0.0707,52.04737089201878,0.3768826291079812,62.91079812206573
momentum_ao,P90_short,fwd_5d,short,213,55895,0.15651032863849765,0.1139,52.38553990610329,0.4905680751173709,64.31924882629107
momentum_kama,P10_long,fwd_1d,long,213,55895,0.26686478873239433,0.1908,54.30507042253521,1.8353333333333333,100.0
momentum_kama,P10_long,fwd_2d,long,213,55895,0.5211023474178403,0.374,56.91399061032864,2.582995305164319,100.0
momentum_kama,P10_long,fwd_3d,long,213,55895,0.7750938967136151,0.5427,58.348873239436614,3.1654882629107983,100.0
momentum_kama,P10_long,fwd_5d,long,213,55895,1.2697507042253522,0.8837,60.771690140845074,4.099516431924883,100.0
momentum_kama,P20_long,fwd_1d,long,213,111781,0.1915098591549296,0.1451,53.25281690140845,1.8881032863849765,100.0
momentum_kama,P20_long,fwd_2d,long,213,111781,0.3759544600938967,0.2883,55.29446009389671,2.656816901408451,100.0
momentum_kama,P20_long,fwd_3d,long,213,111781,0.5579408450704225,0.4324,56.48957746478874,3.2460375586854457,100.0
momentum_kama,P20_long,fwd_5d,long,213,111781,0.9045746478873239,0.6992,58.23103286384976,4.183197183098591,100.0
momentum_kama,P80_short,fwd_1d,short,213,111781,-0.028963849765258218,-0.0359,50.528779342723,-0.3375680751173709,30.046948356807512
momentum_kama,P80_short,fwd_2d,short,213,111781,-0.05494694835680751,-0.0666,50.70338028169014,-0.45477464788732397,29.577464788732392
