indicator,signal,threshold,n_signals,horizon,avg_return_pct,win_rate,t_stat,direction,ticker
volume_fi,P80_short,87155390.7607,554,fwd_3d,0.5965,63.54,5.563,short,AAPL
volume_fi,P80_short,87155390.7607,554,fwd_5d,1.0163,67.75,7.677,short,AAPL
volume_fi,P90_short,165397008.4573,277,fwd_1d,0.248,56.68,2.823,short,AAPL
volume_fi,P90_short,165397008.4573,277,fwd_2d,0.4879,61.37,4.015,short,AAPL
volume_fi,P90_short,165397008.4573,277,fwd_3d,0.7051,64.62,4.433,short,AAPL
volume_fi,P90_short,165397008.4573,277,fwd_5d,1.2403,70.76,6.703,short,AAPL
volume_em,P10_long,-10.0426,277,fwd_1d,0.0854,53.79,0.567,long,AAPL
volume_em,P10_long,-10.0426,277,fwd_2d,0.2171,53.62,1.137,long,AAPL
volume_em,P10_long,-10.0426,277,fwd_3d,0.5347,57.82,2.487,long,AAPL
volume_em,P10_long,-10.0426,277,fwd_5d,0.5,53.09,1.847,long,AAPL
volume_em,P20_long,-3.8575,554,fwd_1d,0.1073,53.71,1.118,long,AAPL
volume_em,P20_long,-3.8575,554,fwd_2d,0.2424,53.62,2.008,long,AAPL
volume_em,P20_long,-3.8575,554,fwd_3d,0.4769,56.62,3.297,long,AAPL
volume_em,P20_long,-3.8575,554,fwd_5d,0.5631,56.26,3.075,long,AAPL
volume_em,P80_short,5.4836,554,fwd_1d,0.0868,52.71,1.128,short,AAPL
volume_em,P80_short,5.4836,554,fwd_2d,0.2164,56.68,1.992,short,AAPL
volume_em,P80_short,5.4836,554,fwd_3d,0.3307,60.11,2.447,short,AAPL
volume_em,P80_short,5.4836,554,fwd_5d,0.8185,62.68,4.721,short,AAPL
volume_em,P90_short,11.6495,277,fwd_1d,0.1145,54.51,0.949,short,AAPL
volume_em,P90_short,11.6495,277,fwd_2d,0.2279,56.32,1.375,short,AAPL
volume_em,P90_short,11.6495,277,fwd_3d,0.3848,61.73,1.93,short,AAPL
volume_em,P90_short,11.6495,277,fwd_5d,0.8007,63.64,2.967,short,AAPL
volume_sma_em,P10_long,-3.6859,277,fwd_1d,0.1609,52.71,0.947,long,AAPL
volume_sma_em,P10_long,-3.6859,277,fwd_2d,0.2579,52.35,1.266,long,AAPL
volume_sma_em,P10_long,-3.6859,277,fwd_3d,0.2791,52.71,1.131,long,AAPL
volume_sma_em,P10_long,-3.6859,277,fwd_5d,0.2489,49.46,0.814,long,AAPL
volume_sma_em,P20_long,-1.2379,554,fwd_1d,0.0912,52.35,0.844,long,AAPL
volume_sma_em,P20_long,-1.2379,554,fwd_2d,0.1586,51.44,1.132,long,AAPL
volume_sma_em,P20_long,-1.2379,554,fwd_3d,0.223,53.07,1.314,long,AAPL
volume_sma_em,P20_long,-1.2379,554,fwd_5d,0.3123,52.35,1.455,long,AAPL
volume_sma_em,P80_short,2.2045,554,fwd_1d,0.1601,53.25,2.506,short,AAPL
volume_sma_em,P80_short,2.2045,554,fwd_2d,0.316,56.78,3.462,short,AAPL
volume_sma_em,P80_short,2.2045,554,fwd_3d,0.4796,60.14,4.303,short,AAPL
volume_sma_em,P80_short,2.2045,554,fwd_5d,0.7793,63.27,5.696,short,AAPL
volume_sma_em,P90_short,4.3624,277,fwd_1d,0.2455,54.15,2.639,short,AAPL
volume_sma_em,P90_short,4.3624,277,fwd_2d,0.4932,60.65,3.633,short,AAPL
volume_sma_em,P90_short,4.3624,277,fwd_3d,0.7982,68.48,4.892,short,AAPL
volume_sma_em,P90_short,4.3624,277,fwd_5d,1.3326,68.98,6.722,short,AAPL
volume_vpt,P10_long,-310020992.7024,277,fwd_1d,0.2928,56.32,2.392,long,AAPL
volume_vpt,P10_long,-310020992.7024,277,fwd_2d,0.6084,58.48,3.809,long,AAPL
volume_vpt,P10_long,-310020992.7024,277,fwd_3d,0.9681,64.62,5.489,long,AAPL
volume_vpt,P10_long,-310020992.7024,277,fwd_5d,1.6094,65.7,7.669,long,AAPL
volume_vpt,P20_long,-298913339.5752,554,fwd_1d,0.1306,53.07,1.578,long,AAPL
volume_vpt,P20_long,-298913339.5752,554,fwd_2d,0.274,53.43,2.41,long,AAPL
volume_vpt,P20_long,-298913339.5752,554,fwd_3d,0.429,55.42,3.206,long,AAPL
volume_vpt,P20_long,-298913339.5752,554,fwd_5d,0.7169,57.22,4.37,long,AAPL
volume_vpt,P80_short,-202163852.7686,554,fwd_1d,0.0577,51.08,0.863,short,AAPL
volume_vpt,P80_short,-202163852.7686,554,fwd_2d,0.1088,54.87,1.147,short,AAPL
volume_vpt,P80_short,-202163852.7686,554,fwd_3d,0.1577,54.15,1.376,short,AAPL
volume_vpt,P80_short,-202163852.7686,554,fwd_5d,0.2384,55.6,1.619,short,AAPL
volume_vpt,P90_short,-166624283.0574,277,fwd_1d,0.1347,53.07,1.509,short,AAPL
volume_vpt,P90_short,-166624283.0574,277,fwd_2d,0.3083,57.4,2.427,short,AAPL
volume_vpt,P90_short,-166624283.0574,277,fwd_3d,0.4772,58.12,3.06,short,AAPL
volume_vpt,P90_short,-166624283.0574,277,fwd_5d,0.6824,56.68,3.395,short,AAPL
volume_vwap,P10_long,109.0392,277,fwd_1d,0.1856,56.68,2.048,long,AAPL
volume_vwap,P10_long,109.0392,277,fwd_2d,0.366,58.84,2.797,long,AAPL
volume_vwap,P10_long,109.0392,277,fwd_3d,0.5373,61.37,3.349,long,AAPL
volume_vwap,P10_long,109.0392,277,fwd_5d,0.9587,61.37,5.048,long,AAPL
