n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
4639,1905,2734,41.1,1.05,737.53,-491.61,13.13,60925.06,1.59,580.0,5.6,8.0,ES/Engulf/15min,1.5:1
4195,1479,2716,35.3,1.07,981.38,-498.16,23.47,98461.93,1.44,525.0,6.9,8.0,ES/Engulf/15min,2:1
804,299,505,37.2,0.89,753.72,-500.63,-34.15,-27455.36,0.28,101.0,6.3,8.0,ES/Engulf+RSI/15min,1.5:1
793,254,539,32.0,0.93,995.58,-505.55,-24.74,-19616.19,0.27,99.0,7.5,8.0,ES/Engulf+RSI/15min,2:1
2740,1042,1698,38.0,0.92,727.51,-487.44,-25.4,-69602.21,0.94,343.0,5.4,8.0,ES/Hammer/15min,1.5:1
2581,824,1757,31.9,0.92,966.33,-492.63,-26.85,-69295.99,0.88,323.0,6.7,8.0,ES/Hammer/15min,2:1
1242,464,778,37.4,0.88,707.63,-481.2,-37.06,-46034.54,0.43,156.0,5.4,8.0,ES/Hammer+RSI/15min,1.5:1
1202,379,823,31.5,0.91,949.57,-481.43,-30.22,-36326.88,0.41,151.0,6.6,8.0,ES/Hammer+RSI/15min,2:1
3418,1434,1984,42.0,1.11,749.33,-488.52,30.81,105313.27,1.17,428.0,5.9,8.0,ES/Inside/15min,1.5:1
3141,1098,2043,35.0,1.06,977.1,-497.03,18.28,57416.4,1.08,393.0,7.3,8.0,ES/Inside/15min,2:1
830,329,501,39.6,0.97,720.98,-489.59,-9.73,-8078.71,0.28,104.0,5.7,8.0,ES/Inside+RSI/15min,1.5:1
819,267,552,32.6,0.92,947.36,-495.55,-25.15,-20597.58,0.28,102.0,6.9,8.0,ES/Inside+RSI/15min,2:1
2480,994,1486,40.1,0.98,1019.8,-699.22,-10.23,-25362.02,0.85,310.0,4.7,8.0,ES/Engulf/30min,1.5:1
2272,766,1506,33.7,1.02,1390.65,-692.54,9.8,22271.66,0.78,284.0,5.6,8.0,ES/Engulf/30min,2:1
408,162,246,39.7,1.07,1145.68,-706.73,28.79,11744.54,0.14,51.0,5.4,8.0,ES/Engulf+RSI/30min,1.5:1
407,136,271,33.4,1.14,1590.55,-698.33,66.5,27066.73,0.14,51.0,6.3,8.0,ES/Engulf+RSI/30min,2:1
1432,581,851,40.6,0.98,977.14,-680.77,-8.11,-11611.22,0.49,179.0,4.6,8.0,ES/Hammer/30min,1.5:1
1354,461,893,34.0,0.98,1298.89,-686.36,-10.44,-14132.69,0.46,169.0,5.7,8.0,ES/Hammer/30min,2:1
613,250,363,40.8,1.09,1034.5,-653.66,34.82,21346.18,0.21,77.0,4.6,7.9,ES/Hammer+RSI/30min,1.5:1
594,202,392,34.0,1.09,1392.76,-657.92,39.45,23432.96,0.21,75.0,5.7,7.9,ES/Hammer+RSI/30min,2:1
1873,793,1080,42.3,1.06,1001.0,-694.79,23.18,43416.7,0.64,234.0,5.0,8.0,ES/Inside/30min,1.5:1
1761,638,1123,36.2,1.09,1338.69,-697.67,40.09,70592.97,0.6,220.0,6.0,8.0,ES/Inside/30min,2:1
463,199,264,43.0,1.06,968.34,-688.12,23.84,11037.07,0.16,58.0,4.9,8.0,ES/Inside+RSI/30min,1.5:1
460,174,286,37.8,1.17,1309.5,-682.14,71.22,32761.68,0.16,58.0,5.9,8.0,ES/Inside+RSI/30min,2:1
1377,567,810,41.2,1.04,1457.31,-977.4,25.13,34598.03,0.47,172.0,4.5,8.0,ES/Engulf/60min,1.5:1
1258,434,824,34.5,1.03,1937.67,-991.3,19.17,24119.81,0.43,157.0,5.4,8.0,ES/Engulf/60min,2:1
259,98,161,37.8,0.91,1451.11,-969.11,-53.35,-13818.01,0.09,33.0,4.8,8.0,ES/Engulf+RSI/60min,1.5:1
259,85,174,32.8,0.99,1950.51,-965.58,-8.56,-2218.01,0.09,33.0,5.8,8.0,ES/Engulf+RSI/60min,2:1
815,336,479,41.2,1.06,1490.23,-983.25,36.49,29739.84,0.28,102.0,4.4,8.0,ES/Hammer/60min,1.5:1
766,273,493,35.6,1.1,1974.74,-996.78,62.26,47692.29,0.26,96.0,5.5,7.9,ES/Hammer/60min,2:1
337,129,208,38.3,1.02,1530.28,-928.92,12.44,4191.85,0.12,43.0,4.5,7.9,ES/Hammer+RSI/60min,1.5:1
330,107,223,32.4,1.04,2033.9,-940.74,23.77,7842.71,0.11,42.0,5.4,7.9,ES/Hammer+RSI/60min,2:1
1049,435,614,41.5,1.05,1412.49,-951.67,28.7,30109.6,0.36,131.0,4.7,8.0,ES/Inside/60min,1.5:1
987,349,638,35.4,1.04,1840.39,-963.59,27.89,27526.41,0.34,124.0,5.6,8.0,ES/Inside/60min,2:1
240,91,149,37.9,0.92,1466.07,-978.34,-51.5,-12360.7,0.08,30.0,4.5,7.9,ES/Inside+RSI/60min,1.5:1
238,79,159,33.2,0.95,1902.47,-995.68,-33.69,-8018.55,0.08,30.0,5.5,7.9,ES/Inside+RSI/60min,2:1
4761,1867,2894,39.2,0.95,688.52,-468.55,-14.81,-70504.35,1.63,595.0,4.6,8.0,ES/RSI(2)+BB(1.5)/15min,1.5:1
4429,1477,2952,33.3,0.99,933.3,-470.59,-2.41,-10687.51,1.52,554.0,5.7,8.0,ES/RSI(2)+BB(1.5)/15min,2:1
3037,1201,1836,39.5,0.97,680.85,-457.26,-7.19,-21834.4,1.04,380.0,4.1,8.0,ES/RSI(2)+BB(2.0)/15min,1.5:1
2921,989,1932,33.9,1.01,910.59,-459.97,4.08,11905.19,1.0,366.0,5.3,8.0,ES/RSI(2)+BB(2.0)/15min,2:1
1567,622,945,39.7,0.94,654.11,-457.63,-16.34,-25605.88,0.54,196.0,3.8,8.0,ES/RSI(2)+BB(2.5)/15min,1.5:1
1550,533,1017,34.4,1.01,876.36,-456.94,1.55,2398.57,0.53,194.0,4.8,8.0,ES/RSI(2)+BB(2.5)/15min,2:1
