n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
869,317,552,36.5,1.22,1392.61,-653.69,92.77,80618.67,0.3,109.0,5.4,8.0,"CL/Kelt-BO(30,1.5)/60min",2:1
1587,814,773,51.3,1.04,689.5,-698.61,13.38,21227.3,0.54,199.0,3.2,8.0,"CL/Kelt-MR(30,2.0)/60min",1:1
1396,591,805,42.3,1.1,1039.23,-696.21,38.49,53738.04,0.48,175.0,4.3,8.0,"CL/Kelt-MR(30,2.0)/60min",1.5:1
1283,470,813,36.6,1.14,1370.12,-694.66,61.73,79194.99,0.44,161.0,5.3,8.0,"CL/Kelt-MR(30,2.0)/60min",2:1
847,420,427,49.6,1.0,676.71,-662.49,1.57,1333.44,0.29,106.0,3.2,8.0,"CL/Kelt-BO(30,2.0)/60min",1:1
796,338,458,42.5,1.13,1008.36,-661.27,47.69,37961.61,0.27,100.0,4.3,8.0,"CL/Kelt-BO(30,2.0)/60min",1.5:1
751,268,483,35.7,1.11,1342.37,-673.27,46.02,34564.33,0.26,94.0,5.4,8.0,"CL/Kelt-BO(30,2.0)/60min",2:1
1149,609,540,53.0,1.11,708.01,-719.23,37.24,42791.39,0.39,144.0,3.2,8.0,"CL/Kelt-MR(30,2.5)/60min",1:1
1029,454,575,44.1,1.2,1085.74,-712.64,80.81,83156.96,0.35,129.0,4.4,8.0,"CL/Kelt-MR(30,2.5)/60min",1.5:1
963,360,603,37.4,1.21,1442.17,-711.54,93.58,90120.56,0.33,121.0,5.5,8.0,"CL/Kelt-MR(30,2.5)/60min",2:1
682,328,354,48.1,0.91,687.26,-697.68,-31.61,-21558.63,0.23,85.0,3.3,8.0,"CL/Kelt-BO(30,2.5)/60min",1:1
638,256,382,40.1,0.99,1025.71,-697.13,-5.83,-3722.3,0.22,80.0,4.5,8.0,"CL/Kelt-BO(30,2.5)/60min",1.5:1
606,203,403,33.5,0.98,1361.14,-700.04,-9.58,-5804.74,0.21,76.0,5.5,8.0,"CL/Kelt-BO(30,2.5)/60min",2:1
5955,2918,3037,49.0,0.95,306.21,-308.29,-7.18,-42756.21,2.04,745.0,3.2,8.0,"CL/Boll-MR(14,1.5)/15min",1:1
5476,2211,3265,40.4,1.01,462.07,-310.59,1.38,7557.9,1.88,685.0,4.4,8.0,"CL/Boll-MR(14,1.5)/15min",1.5:1
5082,1778,3304,35.0,1.04,609.89,-314.83,8.69,44161.37,1.74,635.0,5.4,8.0,"CL/Boll-MR(14,1.5)/15min",2:1
3140,1536,1604,48.9,0.94,296.12,-301.25,-9.03,-28356.14,1.08,393.0,2.8,8.0,"CL/Boll-MR(14,2.0)/15min",1:1
3011,1209,1802,40.2,0.99,446.32,-301.8,-1.41,-4235.6,1.03,377.0,3.8,8.0,"CL/Boll-MR(14,2.0)/15min",1.5:1
2912,1012,1900,34.8,1.05,598.27,-303.85,9.66,28132.66,1.0,364.0,4.7,8.0,"CL/Boll-MR(14,2.0)/15min",2:1
1525,745,780,48.9,0.95,295.17,-297.11,-7.76,-11837.5,0.52,191.0,2.4,8.0,"CL/Boll-MR(14,2.5)/15min",1:1
1498,595,903,39.7,0.96,438.21,-299.44,-6.45,-9663.3,0.51,187.0,3.3,8.0,"CL/Boll-MR(14,2.5)/15min",1.5:1
