n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,symbol,timeframe,rsi_period,oversold,overbought,pt_sl,pt_mult,sl_mult
1107,382,725,34.5,1.03,379.96,-193.53,4.37,4836.01,0.38,139.0,4.8,8.0,CL,5min,5,5,95,2:1,2.0,1.0
4382,1510,2872,34.5,1.03,464.96,-238.27,4.06,17780.3,1.5,548.0,2.2,8.0,CL,30min,3,20,80,1:0.5,1.0,0.5
637,253,384,39.7,1.01,1391.12,-909.95,3.98,2532.39,0.22,80.0,4.3,8.0,ES,60min,5,15,85,1.5:1,1.5,1.0
5791,1986,3805,34.3,1.02,636.93,-326.64,3.81,22083.19,1.98,724.0,6.0,8.0,CL,15min,5,30,70,2:1,2.0,1.0
499,165,334,33.1,1.02,673.25,-327.02,3.73,1861.03,0.17,63.0,2.0,8.0,CL,60min,3,5,95,1:0.5,1.0,0.5
2634,1085,1549,41.2,1.01,701.56,-485.16,3.68,9681.1,0.9,329.0,4.6,8.0,CL,30min,3,15,85,1.5:1,1.5,1.0
6515,2217,4298,34.0,1.02,646.69,-328.52,3.33,21727.07,2.23,815.0,6.2,8.0,CL,15min,2,25,75,2:1,2.0,1.0
58,20,38,34.5,1.01,877.77,-457.09,3.2,185.79,0.02,7.0,1.8,8.0,ES,60min,5,5,95,1:0.5,1.0,0.5
1338,448,890,33.5,1.0,1896.31,-949.9,3.09,4134.84,0.46,167.0,5.5,8.0,ES,60min,5,25,75,2:1,2.0,1.0
3784,1285,2499,34.0,1.01,635.07,-322.04,2.99,11304.31,1.3,473.0,5.7,8.0,CL,15min,2,5,95,2:1,2.0,1.0
7798,3148,4650,40.4,1.01,727.48,-487.51,2.97,23179.56,2.67,975.0,5.2,8.0,ES,15min,2,30,70,1.5:1,1.5,1.0
4830,1683,3147,34.8,1.02,459.56,-241.37,2.87,13852.71,1.66,604.0,2.2,8.0,CL,30min,5,30,70,1:0.5,1.0,0.5
5839,1957,3882,33.5,1.01,979.67,-489.57,2.86,16693.46,2.0,730.0,6.3,8.0,ES,15min,3,25,75,2:1,2.0,1.0
7476,3036,4440,40.6,1.01,482.94,-325.48,2.82,21071.47,2.56,935.0,5.0,8.0,CL,15min,3,30,70,1.5:1,1.5,1.0
1675,859,816,51.3,1.01,662.82,-691.96,2.82,4723.21,0.58,210.0,3.2,8.0,CL,60min,5,25,75,1:1,1.0,1.0
5846,1935,3911,33.1,1.0,1683.96,-829.12,2.7,15798.76,2.0,732.0,6.3,8.0,NQ,15min,3,25,75,2:1,2.0,1.0
12208,4200,8008,34.4,1.02,352.81,-181.2,2.52,30722.49,4.18,1527.0,6.6,8.0,CL,5min,3,15,85,2:1,2.0,1.0
3103,1227,1876,39.5,1.01,1050.59,-683.33,2.3,7149.77,1.06,388.0,4.6,8.0,ES,30min,3,20,80,1.5:1,1.5,1.0
6294,2105,4189,33.4,1.01,981.29,-489.66,2.29,14412.96,2.16,787.0,6.3,8.0,ES,15min,3,30,70,2:1,2.0,1.0
294,144,150,49.0,1.0,1548.03,-1481.76,2.22,652.24,0.1,37.0,3.0,7.9,NQ,60min,5,10,90,1:1,1.0,1.0
2431,999,1432,41.1,1.01,983.77,-682.68,2.13,5189.9,0.83,304.0,4.3,8.0,CL,60min,2,30,70,1.5:1,1.5,1.0
