n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,symbol,timeframe,rsi_period,oversold,overbought,pt_sl,pt_mult,sl_mult
25220,8339,16881,33.1,0.96,265.4,-135.98,-3.26,-82315.57,8.64,3154.0,2.1,8.0,ES,5min,3,20,80,1:0.5,1.0,0.5
24175,11935,12240,49.4,0.95,266.1,-273.62,-7.16,-173162.14,8.28,3023.0,3.6,8.0,ES,5min,3,25,75,1:1,1.0,1.0
19933,7863,12070,39.4,0.96,407.37,-277.28,-7.21,-143666.89,6.83,2492.0,5.2,8.0,ES,5min,3,25,75,1.5:1,1.5,1.0
16752,5556,11196,33.2,0.97,549.19,-281.02,-5.67,-95039.91,5.74,2095.0,6.7,8.0,ES,5min,3,25,75,2:1,2.0,1.0
32003,10581,21422,33.1,0.96,264.04,-135.75,-3.57,-114221.92,10.96,4002.0,2.1,8.0,ES,5min,3,25,75,1:0.5,1.0,0.5
27661,13687,13974,49.5,0.96,266.59,-273.13,-6.07,-168018.46,9.48,3459.0,3.6,8.0,ES,5min,3,30,70,1:1,1.0,1.0
21961,8618,13343,39.2,0.95,409.57,-277.04,-7.6,-166974.35,7.52,2746.0,5.1,8.0,ES,5min,3,30,70,1.5:1,1.5,1.0
18150,6007,12143,33.1,0.98,554.84,-280.5,-4.03,-73172.14,6.22,2270.0,6.7,8.0,ES,5min,3,30,70,2:1,2.0,1.0
37669,12439,25230,33.0,0.95,262.83,-135.93,-4.25,-160040.17,12.9,4710.0,2.1,8.0,ES,5min,3,30,70,1:0.5,1.0,0.5
563,240,323,42.6,0.71,290.69,-304.38,-50.71,-28548.37,0.19,71.0,3.0,8.0,ES,5min,5,5,95,1:1,1.0,1.0
563,198,365,35.2,0.76,427.08,-305.68,-47.98,-27009.98,0.19,71.0,4.2,8.0,ES,5min,5,5,95,1.5:1,1.5,1.0
563,164,399,29.1,0.7,528.45,-311.57,-66.87,-37649.26,0.19,71.0,5.5,8.0,ES,5min,5,5,95,2:1,2.0,1.0
624,190,434,30.4,0.81,287.52,-155.14,-20.36,-12703.26,0.21,78.0,1.9,8.0,ES,5min,5,5,95,1:0.5,1.0,0.5
2465,1180,1285,47.9,0.86,272.14,-290.66,-21.24,-52364.0,0.85,308.0,3.2,8.0,ES,5min,5,10,90,1:1,1.0,1.0
2448,941,1507,38.4,0.88,406.91,-288.76,-21.35,-52261.78,0.84,306.0,4.6,8.0,ES,5min,5,10,90,1.5:1,1.5,1.0
2438,780,1658,32.0,0.88,539.46,-287.82,-23.14,-56426.94,0.84,305.0,6.0,8.0,ES,5min,5,10,90,2:1,2.0,1.0
2788,893,1895,32.0,0.86,271.07,-148.15,-13.87,-38668.19,0.96,349.0,2.0,8.0,ES,5min,5,10,90,1:0.5,1.0,0.5
5781,2758,3023,47.7,0.9,274.28,-278.39,-14.72,-85107.06,1.98,723.0,3.5,8.0,ES,5min,5,15,85,1:1,1.0,1.0
5666,2184,3482,38.5,0.92,410.16,-279.54,-13.69,-77563.78,1.94,709.0,4.9,8.0,ES,5min,5,15,85,1.5:1,1.5,1.0
5574,1790,3784,32.1,0.92,545.78,-279.91,-14.75,-82241.11,1.91,697.0,6.3,8.0,ES,5min,5,15,85,2:1,2.0,1.0
6719,2127,4592,31.7,0.89,272.39,-141.76,-10.65,-71578.2,2.3,840.0,2.0,8.0,ES,5min,5,15,85,1:0.5,1.0,0.5
10183,4978,5205,48.9,0.93,268.8,-276.15,-9.75,-99273.59,3.49,1273.0,3.5,8.0,ES,5min,5,20,80,1:1,1.0,1.0
9704,3762,5942,38.8,0.94,408.39,-275.5,-10.37,-100623.04,3.32,1213.0,4.9,8.0,ES,5min,5,20,80,1.5:1,1.5,1.0
9310,3009,6301,32.3,0.94,545.76,-276.98,-11.07,-103085.82,3.19,1164.0,6.4,8.0,ES,5min,5,20,80,2:1,2.0,1.0
12277,4010,8267,32.7,0.92,267.89,-140.68,-7.23,-88778.13,4.21,1535.0,2.1,8.0,ES,5min,5,20,80,1:0.5,1.0,0.5
15430,7513,7917,48.7,0.92,266.55,-274.43,-11.02,-170015.5,5.29,1929.0,3.5,8.0,ES,5min,5,25,75,1:1,1.0,1.0
14130,5536,8594,39.2,0.95,404.61,-275.71,-9.17,-129505.59,4.84,1767.0,5.0,8.0,ES,5min,5,25,75,1.5:1,1.5,1.0
13024,4287,8737,32.9,0.97,548.49,-277.84,-5.84,-76095.94,4.46,1629.0,6.6,8.0,ES,5min,5,25,75,2:1,2.0,1.0
19289,6271,13018,32.5,0.93,266.19,-138.4,-6.86,-132366.28,6.61,2412.0,2.1,8.0,ES,5min,5,25,75,1:0.5,1.0,0.5
20977,10319,10658,49.2,0.95,265.99,-272.47,-7.59,-159267.77,7.19,2623.0,3.5,8.0,ES,5min,5,30,70,1:1,1.0,1.0
18138,7084,11054,39.1,0.95,407.58,-275.29,-8.59,-155729.53,6.21,2268.0,5.1,8.0,ES,5min,5,30,70,1.5:1,1.5,1.0
15938,5253,10685,33.0,0.98,554.17,-278.42,-4.01,-63873.37,5.46,1993.0,6.7,8.0,ES,5min,5,30,70,2:1,2.0,1.0
27211,8940,18271,32.9,0.95,265.41,-136.74,-4.62,-125607.39,9.32,3403.0,2.1,8.0,ES,5min,5,30,70,1:0.5,1.0,0.5
4042,1886,2156,46.7,0.86,462.86,-472.56,-36.09,-145892.66,1.38,505.0,3.6,8.0,ES,15min,2,5,95,1:1,1.0,1.0
3791,1429,2362,37.7,0.87,690.13,-478.73,-38.14,-144578.06,1.3,474.0,4.9,8.0,ES,15min,2,5,95,1.5:1,1.5,1.0
3568,1147,2421,32.1,0.92,936.68,-480.21,-24.73,-88221.37,1.22,446.0,6.0,8.0,ES,15min,2,5,95,2:1,2.0,1.0
4743,1431,3312,30.2,0.86,467.61,-235.55,-23.4,-110980.39,1.62,593.0,2.2,8.0,ES,15min,2,5,95,1:0.5,1.0,0.5
6219,2944,3275,47.3,0.9,475.88,-474.53,-24.62,-153100.08,2.13,778.0,3.8,8.0,ES,15min,2,10,90,1:1,1.0,1.0
5479,2131,3348,38.9,0.96,724.33,-479.26,-11.14,-61009.03,1.88,685.0,5.2,8.0,ES,15min,2,10,90,1.5:1,1.5,1.0
4887,1601,3286,32.8,0.98,975.56,-484.99,-6.51,-31821.63,1.67,611.0,6.4,8.0,ES,15min,2,10,90,2:1,2.0,1.0
7865,2475,5390,31.5,0.9,466.06,-237.82,-16.32,-128377.21,2.7,984.0,2.3,8.0,ES,15min,2,10,90,1:0.5,1.0,0.5
7657,3698,3959,48.3,0.93,478.16,-480.06,-17.28,-132338.63,2.62,958.0,3.8,8.0,ES,15min,2,15,85,1:1,1.0,1.0
6433,2568,3865,39.9,1.0,733.5,-485.73,0.98,6273.74,2.2,805.0,5.2,8.0,ES,15min,2,15,85,1.5:1,1.5,1.0
5591,1871,3720,33.5,1.02,992.27,-488.28,7.18,40136.58,1.92,699.0,6.4,8.0,ES,15min,2,15,85,2:1,2.0,1.0
9999,3156,6843,31.6,0.91,472.31,-239.71,-14.97,-149732.72,3.43,1251.0,2.3,8.0,ES,15min,2,15,85,1:0.5,1.0,0.5
8620,4211,4409,48.9,0.95,482.12,-483.0,-11.53,-99345.75,2.95,1078.0,3.8,8.0,ES,15min,2,20,80,1:1,1.0,1.0
7062,2866,4196,40.6,1.02,728.87,-487.52,6.13,43308.19,2.42,883.0,5.2,8.0,ES,15min,2,20,80,1.5:1,1.5,1.0
6031,2049,3982,34.0,1.03,982.65,-490.64,9.9,59703.65,2.07,754.0,6.4,8.0,ES,15min,2,20,80,2:1,2.0,1.0
11642,3702,7940,31.8,0.92,475.5,-240.82,-13.04,-151781.24,3.99,1456.0,2.3,8.0,ES,15min,2,20,80,1:0.5,1.0,0.5
9268,4530,4738,48.9,0.96,483.69,-481.66,-9.81,-90956.55,3.18,1159.0,3.8,8.0,ES,15min,2,25,75,1:1,1.0,1.0
7444,3017,4427,40.5,1.02,729.35,-487.66,5.59,41580.55,2.55,931.0,5.2,8.0,ES,15min,2,25,75,1.5:1,1.5,1.0
6308,2166,4142,34.3,1.05,982.98,-491.35,14.89,93954.99,2.16,789.0,6.4,8.0,ES,15min,2,25,75,2:1,2.0,1.0
12835,4124,8711,32.1,0.93,471.84,-240.48,-11.61,-148950.38,4.4,1605.0,2.3,8.0,ES,15min,2,25,75,1:0.5,1.0,0.5
9816,4806,5010,49.0,0.95,479.18,-484.92,-12.89,-126480.56,3.36,1228.0,3.8,8.0,ES,15min,2,30,70,1:1,1.0,1.0
7798,3148,4650,40.4,1.01,727.48,-487.51,2.97,23179.56,2.67,975.0,5.2,8.0,ES,15min,2,30,70,1.5:1,1.5,1.0
6546,2206,4340,33.7,1.01,978.37,-494.48,1.87,12219.47,2.24,819.0,6.4,8.0,ES,15min,2,30,70,2:1,2.0,1.0
13806,4429,9377,32.1,0.93,473.01,-239.85,-11.17,-154166.71,4.73,1727.0,2.3,8.0,ES,15min,2,30,70,1:0.5,1.0,0.5
1483,696,787,46.9,0.89,452.74,-452.36,-27.58,-40903.59,0.51,186.0,3.3,8.0,ES,15min,3,5,95,1:1,1.0,1.0
1465,548,917,37.4,0.9,682.03,-453.93,-29.01,-42501.05,0.5,183.0,4.5,8.0,ES,15min,3,5,95,1.5:1,1.5,1.0
1453,452,1001,31.1,0.89,902.96,-457.58,-34.34,-49895.05,0.5,182.0,5.5,8.0,ES,15min,3,5,95,2:1,2.0,1.0
1660,482,1178,29.0,0.83,461.61,-227.75,-27.58,-45790.91,0.57,208.0,1.9,8.0,ES,15min,3,5,95,1:0.5,1.0,0.5
3329,1555,1774,46.7,0.86,455.98,-466.34,-35.52,-118232.86,1.14,416.0,3.5,8.0,ES,15min,3,10,90,1:1,1.0,1.0
3186,1217,1969,38.2,0.9,681.49,-469.49,-29.83,-95053.1,1.09,399.0,4.7,8.0,ES,15min,3,10,90,1.5:1,1.5,1.0
3069,980,2089,31.9,0.93,927.42,-468.49,-22.74,-69796.69,1.05,384.0,5.8,8.0,ES,15min,3,10,90,2:1,2.0,1.0
3895,1162,2733,29.8,0.84,460.71,-233.97,-26.72,-104090.21,1.33,487.0,2.1,8.0,ES,15min,3,10,90,1:0.5,1.0,0.5
5089,2372,2717,46.6,0.87,463.83,-467.74,-33.53,-170649.4,1.74,636.0,3.6,8.0,ES,15min,3,15,85,1:1,1.0,1.0
4709,1811,2898,38.5,0.93,700.54,-472.95,-21.64,-101923.27,1.61,589.0,4.9,8.0,ES,15min,3,15,85,1.5:1,1.5,1.0
4366,1437,2929,32.9,0.97,949.35,-479.0,-8.88,-38787.35,1.5,546.0,6.0,8.0,ES,15min,3,15,85,2:1,2.0,1.0
6216,1880,4336,30.2,0.86,467.28,-234.37,-22.16,-137730.39,2.13,777.0,2.2,8.0,ES,15min,3,15,85,1:0.5,1.0,0.5
6659,3171,3488,47.6,0.89,467.49,-478.75,-28.15,-187449.08,2.28,833.0,3.7,8.0,ES,15min,3,20,80,1:1,1.0,1.0
5866,2290,3576,39.0,0.96,718.63,-481.85,-13.2,-77425.3,2.01,734.0,5.1,8.0,ES,15min,3,20,80,1.5:1,1.5,1.0
5242,1709,3533,32.6,0.97,970.06,-484.88,-10.54,-55246.59,1.8,656.0,6.2,8.0,ES,15min,3,20,80,2:1,2.0,1.0
8486,2628,5858,31.0,0.88,466.43,-237.15,-19.26,-163430.87,2.91,1061.0,2.2,8.0,ES,15min,3,20,80,1:0.5,1.0,0.5
7886,3786,4100,48.0,0.91,476.59,-481.08,-21.31,-168033.81,2.7,986.0,3.8,8.0,ES,15min,3,25,75,1:1,1.0,1.0
6720,2675,4045,39.8,0.99,726.93,-486.15,-3.27,-21945.93,2.3,840.0,5.1,8.0,ES,15min,3,25,75,1.5:1,1.5,1.0
5839,1957,3882,33.5,1.01,979.67,-489.57,2.86,16693.46,2.0,730.0,6.3,8.0,ES,15min,3,25,75,2:1,2.0,1.0
10447,3276,7171,31.4,0.9,472.29,-240.03,-16.66,-174011.02,3.58,1306.0,2.3,8.0,ES,15min,3,25,75,1:0.5,1.0,0.5
8930,4350,4580,48.7,0.95,484.56,-482.42,-11.38,-101651.21,3.06,1117.0,3.8,8.0,ES,15min,3,30,70,1:1,1.0,1.0
7338,2890,4448,39.4,0.98,734.67,-485.43,-4.91,-36006.23,2.51,918.0,5.1,8.0,ES,15min,3,30,70,1.5:1,1.5,1.0
6294,2105,4189,33.4,1.01,981.29,-489.66,2.29,14412.96,2.16,787.0,6.3,8.0,ES,15min,3,30,70,2:1,2.0,1.0
12183,3865,8318,31.7,0.92,477.9,-240.19,-12.38,-150801.71,4.17,1523.0,2.3,8.0,ES,15min,3,30,70,1:0.5,1.0,0.5
269,130,139,48.3,0.98,455.87,-435.24,-4.6,-1236.33,0.09,34.0,2.9,8.0,ES,15min,5,5,95,1:1,1.0,1.0
267,99,168,37.1,0.86,655.94,-450.2,-40.06,-10695.52,0.09,33.0,4.2,8.0,ES,15min,5,5,95,1.5:1,1.5,1.0
267,81,186,30.3,0.88,900.77,-443.74,-35.85,-9573.2,0.09,33.0,5.1,8.0,ES,15min,5,5,95,2:1,2.0,1.0
284,85,199,29.9,0.85,445.1,-223.16,-23.16,-6576.31,0.1,36.0,1.9,8.0,ES,15min,5,5,95,1:0.5,1.0,0.5
1077,488,589,45.3,0.83,457.95,-455.02,-41.34,-44524.2,0.37,135.0,3.3,8.0,ES,15min,5,10,90,1:1,1.0,1.0
1060,386,674,36.4,0.85,682.16,-459.14,-43.54,-46149.66,0.36,133.0,4.6,8.0,ES,15min,5,10,90,1.5:1,1.5,1.0
1054,326,728,30.9,0.9,918.06,-459.19,-33.21,-35000.01,0.36,132.0,5.6,8.0,ES,15min,5,10,90,2:1,2.0,1.0
1233,354,879,28.7,0.82,467.48,-230.5,-30.11,-37122.78,0.42,154.0,2.0,8.0,ES,15min,5,10,90,1:0.5,1.0,0.5
2330,1098,1232,47.1,0.9,466.87,-463.74,-25.2,-58708.18,0.8,292.0,3.5,8.0,ES,15min,5,15,85,1:1,1.0,1.0
2258,867,1391,38.4,0.94,702.3,-464.12,-16.25,-36693.14,0.77,283.0,4.7,8.0,ES,15min,5,15,85,1.5:1,1.5,1.0
2218,711,1507,32.1,0.96,947.19,-464.78,-12.16,-26971.19,0.76,278.0,5.9,8.0,ES,15min,5,15,85,2:1,2.0,1.0
2717,828,1889,30.5,0.9,478.98,-232.33,-15.56,-42282.93,0.93,340.0,2.1,8.0,ES,15min,5,15,85,1:0.5,1.0,0.5
3811,1786,2025,46.9,0.87,462.19,-468.96,-32.58,-124170.06,1.31,477.0,3.5,8.0,ES,15min,5,20,80,1:1,1.0,1.0
3612,1390,2222,38.5,0.93,697.39,-471.31,-21.56,-77882.52,1.24,452.0,4.7,8.0,ES,15min,5,20,80,1.5:1,1.5,1.0
3495,1142,2353,32.7,0.98,952.43,-471.41,-6.16,-21539.5,1.2,437.0,5.8,8.0,ES,15min,5,20,80,2:1,2.0,1.0
4630,1413,3217,30.5,0.86,466.54,-236.97,-22.27,-103098.45,1.59,579.0,2.1,8.0,ES,15min,5,20,80,1:0.5,1.0,0.5
5425,2589,2836,47.7,0.9,464.1,-470.43,-24.44,-132598.75,1.86,678.0,3.6,8.0,ES,15min,5,25,75,1:1,1.0,1.0
4972,1946,3026,39.1,0.96,703.71,-473.14,-12.53,-62299.24,1.7,622.0,4.8,8.0,ES,15min,5,25,75,1.5:1,1.5,1.0
4647,1535,3112,33.0,0.99,954.12,-476.71,-4.08,-18944.41,1.59,581.0,6.0,8.0,ES,15min,5,25,75,2:1,2.0,1.0
6843,2092,4751,30.6,0.87,468.83,-237.01,-21.23,-145256.91,2.34,856.0,2.2,8.0,ES,15min,5,25,75,1:0.5,1.0,0.5
7071,3398,3673,48.1,0.91,468.52,-476.12,-22.17,-156763.39,2.42,884.0,3.6,8.0,ES,15min,5,30,70,1:1,1.0,1.0
6244,2448,3796,39.2,0.96,715.6,-479.53,-10.97,-68518.2,2.14,781.0,5.0,8.0,ES,15min,5,30,70,1.5:1,1.5,1.0
5596,1858,3738,33.2,0.98,962.22,-486.18,-5.28,-29556.96,1.92,700.0,6.2,8.0,ES,15min,5,30,70,2:1,2.0,1.0
9206,2838,6368,30.8,0.88,468.94,-238.74,-20.58,-189456.26,3.15,1151.0,2.2,8.0,ES,15min,5,30,70,1:0.5,1.0,0.5
2171,1040,1131,47.9,0.98,712.67,-672.03,-8.7,-18893.03,0.74,272.0,3.4,8.0,ES,30min,2,5,95,1:1,1.0,1.0
2046,814,1232,39.8,1.05,1079.53,-678.13,21.15,43279.29,0.7,256.0,4.5,8.0,ES,30min,2,5,95,1.5:1,1.5,1.0
1948,669,1279,34.3,1.14,1477.34,-680.31,60.69,118230.63,0.67,244.0,5.5,8.0,ES,30min,2,5,95,2:1,2.0,1.0
2527,809,1718,32.0,0.96,703.71,-344.46,-8.9,-22487.95,0.87,316.0,2.1,8.0,ES,30min,2,5,95,1:0.5,1.0,0.5
3241,1536,1705,47.4,0.89,682.65,-691.6,-40.3,-130621.28,1.11,405.0,3.5,8.0,ES,30min,2,10,90,1:1,1.0,1.0
2938,1157,1781,39.4,1.0,1054.03,-682.86,1.14,3337.34,1.01,368.0,4.5,8.0,ES,30min,2,10,90,1.5:1,1.5,1.0
2699,927,1772,34.3,1.08,1413.97,-683.59,36.84,99424.06,0.93,338.0,5.4,8.0,ES,30min,2,10,90,2:1,2.0,1.0
4032,1304,2728,32.3,0.95,683.5,-344.95,-12.33,-49726.57,1.38,504.0,2.2,8.0,ES,30min,2,10,90,1:0.5,1.0,0.5
3970,1924,2046,48.5,0.93,681.12,-690.5,-25.77,-102303.96,1.36,497.0,3.5,8.0,ES,30min,2,15,85,1:1,1.0,1.0
3433,1361,2072,39.6,0.98,1030.46,-692.08,-9.18,-31527.16,1.18,429.0,4.6,8.0,ES,30min,2,15,85,1.5:1,1.5,1.0
3051,1045,2006,34.3,1.07,1413.97,-689.3,31.09,94868.79,1.05,382.0,5.6,8.0,ES,30min,2,15,85,2:1,2.0,1.0
5124,1674,3450,32.7,0.94,674.27,-346.25,-12.85,-65838.97,1.76,641.0,2.2,8.0,ES,30min,2,15,85,1:0.5,1.0,0.5
4508,2224,2284,49.3,0.97,687.93,-688.88,-9.64,-43448.05,1.54,564.0,3.5,8.0,ES,30min,2,20,80,1:1,1.0,1.0
3726,1473,2253,39.5,0.98,1040.81,-694.11,-8.24,-30704.51,1.28,466.0,4.7,8.0,ES,30min,2,20,80,1.5:1,1.5,1.0
3271,1110,2161,33.9,1.06,1428.23,-691.53,27.8,90930.01,1.12,409.0,5.7,8.0,ES,30min,2,20,80,2:1,2.0,1.0
5941,1926,4015,32.4,0.95,683.69,-345.48,-11.84,-70319.85,2.04,743.0,2.2,8.0,ES,30min,2,20,80,1:0.5,1.0,0.5
4882,2396,2486,49.1,0.96,691.99,-694.48,-14.02,-68466.49,1.67,611.0,3.5,8.0,ES,30min,2,25,75,1:1,1.0,1.0
3979,1579,2400,39.7,0.99,1050.29,-696.32,-3.21,-12753.67,1.36,498.0,4.7,8.0,ES,30min,2,25,75,1.5:1,1.5,1.0
3475,1185,2290,34.1,1.09,1445.12,-689.13,38.66,134348.04,1.19,435.0,5.7,8.0,ES,30min,2,25,75,2:1,2.0,1.0
6567,2177,4390,33.2,0.97,681.13,-348.75,-7.34,-48184.9,2.25,821.0,2.2,8.0,ES,30min,2,25,75,1:0.5,1.0,0.5
5108,2496,2612,48.9,0.98,703.34,-687.7,-7.98,-40743.76,1.75,639.0,3.5,8.0,ES,30min,2,30,70,1:1,1.0,1.0
4159,1630,2529,39.2,0.98,1053.14,-693.09,-8.7,-36195.95,1.43,520.0,4.7,8.0,ES,30min,2,30,70,1.5:1,1.5,1.0
3580,1216,2364,34.0,1.09,1450.41,-685.43,40.04,143333.79,1.23,448.0,5.7,8.0,ES,30min,2,30,70,2:1,2.0,1.0
7041,2299,4742,32.7,0.97,693.15,-345.35,-6.26,-44095.47,2.41,881.0,2.2,8.0,ES,30min,2,30,70,1:0.5,1.0,0.5
788,346,442,43.9,0.79,662.45,-656.75,-77.51,-61077.12,0.27,99.0,3.6,8.0,ES,30min,3,5,95,1:1,1.0,1.0
781,283,498,36.2,0.87,1000.42,-654.31,-54.71,-42727.15,0.27,98.0,4.7,8.0,ES,30min,3,5,95,1.5:1,1.5,1.0
776,234,542,30.2,0.89,1340.06,-653.36,-52.25,-40546.56,0.27,97.0,5.6,8.0,ES,30min,3,5,95,2:1,2.0,1.0
891,265,626,29.7,0.82,641.8,-332.15,-42.48,-37846.99,0.31,112.0,2.1,8.0,ES,30min,3,5,95,1:0.5,1.0,0.5
