n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
56,21,35,37.5,1.36,3143.31,-1383.13,314.28,17599.9,0.02,8.0,5.7,7.3,"NQ/Boll-MR(14,3.0)/60min",2:1
719,286,433,39.8,1.25,3291.49,-1737.87,262.68,188865.81,0.25,90.0,5.5,8.0,"NQ/Kelt-BO(30,2.0)/60min",2:1
100,41,59,41.0,1.21,2919.36,-1670.47,211.36,21136.07,0.03,13.0,5.3,7.9,"NQ/Boll-MR(20,3.0)/60min",2:1
338,125,213,37.0,1.2,3310.2,-1619.86,203.39,68745.2,0.12,43.0,5.0,7.9,"NQ/Boll-MR(20,2.5)/60min",2:1
518,195,323,37.6,1.19,3259.52,-1647.81,199.54,103362.2,0.18,65.0,5.7,8.0,"NQ/Kelt-BO(14,2.0)/60min",2:1
949,433,516,45.6,1.3,1816.9,-1174.62,190.32,180609.42,0.33,119.0,5.0,8.0,"NQ/Kelt-BO(14,2.0)/30min",1.5:1
883,346,537,39.2,1.26,2354.98,-1205.41,189.71,167517.13,0.3,111.0,6.4,8.0,"NQ/Kelt-BO(14,2.0)/30min",2:1
920,372,548,40.4,1.37,1619.42,-804.21,175.78,161717.64,0.32,115.0,6.1,8.0,"NQ/Kelt-BO(14,2.5)/15min",2:1
57,26,31,45.6,1.21,2160.35,-1496.29,171.65,9784.05,0.02,8.0,4.5,7.3,"NQ/Boll-MR(14,3.0)/60min",1.5:1
483,192,291,39.8,1.23,2265.96,-1211.04,171.12,82650.7,0.17,61.0,6.7,8.0,"NQ/Kelt-BO(14,2.5)/30min",2:1
1432,498,934,34.8,1.16,3449.93,-1585.68,165.53,237043.87,0.49,180.0,5.2,8.0,"NQ/Boll-MR(14,1.5)/60min",2:1
514,241,273,46.9,1.23,1698.21,-1213.9,151.5,77872.03,0.18,64.0,5.2,8.0,"NQ/Kelt-BO(14,2.5)/30min",1.5:1
263,100,163,38.0,1.15,3067.59,-1640.11,149.89,39420.56,0.09,33.0,6.1,8.0,"NQ/Kelt-BO(14,2.5)/60min",2:1
277,126,151,45.5,1.16,2297.35,-1646.22,147.6,40886.16,0.1,35.0,4.8,8.0,"NQ/Kelt-BO(14,2.5)/60min",1.5:1
432,160,272,37.0,1.14,3220.25,-1663.01,145.61,62902.09,0.15,54.0,5.6,8.0,"NQ/Kelt-BO(20,2.5)/60min",2:1
839,313,526,37.3,1.13,3347.53,-1768.88,139.86,117344.53,0.29,105.0,5.5,8.0,"NQ/Kelt-BO(30,1.5)/60min",2:1
400,185,215,46.2,1.36,1095.09,-692.59,134.21,53685.71,0.14,50.0,4.3,8.0,"CL/Kelt-MR(14,2.5)/60min",1.5:1
1118,429,689,38.4,1.17,2342.03,-1242.27,133.1,148808.63,0.38,140.0,6.0,8.0,"NQ/Kelt-BO(20,2.0)/30min",2:1
693,276,417,39.8,1.31,1416.46,-716.44,133.02,92184.7,0.24,87.0,5.4,8.0,"CL/Kelt-MR(20,2.5)/60min",2:1
559,316,243,56.5,1.25,1160.19,-1209.86,129.92,72625.39,0.19,70.0,3.7,8.0,"NQ/Kelt-BO(14,2.5)/30min",1:1
1206,424,782,35.2,1.18,2437.46,-1121.65,129.64,156349.9,0.41,151.0,3.9,8.0,NQ/VWAP-2.0σ/30min,2:1
