n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
1555,536,1019,34.5,1.01,881.38,-456.9,4.4,6835.39,0.53,195.0,4.8,8.0,ES/RSI(2)+BB(2.5)/15min,2:1
1664,543,1121,32.6,1.01,2417.89,-1164.67,4.4,7316.31,0.57,208.0,5.6,8.0,NQ/RSI(3)+Kelt(2.0)/30min,2:1
4774,1653,3121,34.6,1.02,610.78,-316.98,4.26,20315.31,1.64,597.0,5.4,8.0,CL/RSI(3)+BB(1.5)/15min,2:1
4693,1610,3083,34.3,1.02,616.73,-315.58,4.26,19997.56,1.61,587.0,5.4,8.0,CL/RSI(5)+BB(1.5)/15min,2:1
1655,649,1006,39.2,1.01,1156.47,-739.12,4.23,6995.48,0.57,208.0,5.0,8.0,"ES/MomThrust(10,1.5)/30min",1.5:1
2269,900,1369,39.7,1.01,1781.69,-1164.4,4.17,9457.42,0.78,284.0,4.6,8.0,NQ/RSI(2)+Kelt(1.5)/30min,1.5:1
2311,944,1367,40.8,1.01,721.31,-491.1,4.15,9580.83,0.79,289.0,4.7,8.0,CL/RSI(3)+Kelt(1.5)/30min,1.5:1
4123,1360,2763,33.0,1.01,1000.97,-486.5,4.15,17125.63,1.41,516.0,6.2,8.0,ES/RSI(2)+Kelt(1.5)/15min,2:1
4716,1596,3120,33.8,1.01,1581.26,-802.61,4.14,19539.61,1.62,590.0,5.7,8.0,NQ/RSI(2)+BB(1.5)/15min,2:1
4587,1544,3043,33.7,1.01,936.97,-469.17,4.14,18988.73,1.57,574.0,5.7,8.0,ES/RSI(2)+BB(1.5)/15min,2:1
640,264,376,41.2,1.01,709.82,-491.39,4.11,2630.64,0.22,80.0,4.6,8.0,CL/Hammer+RSI/30min,1.5:1
268,107,161,39.9,1.01,1133.19,-746.31,4.09,1095.41,0.09,34.0,4.6,7.9,"CL/MomThrust(3,2.5)/60min",1.5:1
2415,957,1458,39.6,1.01,1788.46,-1167.14,4.09,9871.18,0.83,302.0,4.6,8.0,NQ/RSI(2)+Kelt(1.5)/30min,1.5:1
2921,989,1932,33.9,1.01,910.59,-459.97,4.08,11905.19,1.0,366.0,5.3,8.0,ES/RSI(2)+BB(2.0)/15min,2:1
4163,1390,2773,33.4,1.01,1645.64,-818.8,4.06,16898.77,1.43,521.0,6.0,8.0,NQ/RSI(3)+Kelt(1.5)/15min,2:1
4098,1355,2743,33.1,1.01,992.77,-484.64,3.87,15847.77,1.4,513.0,6.1,8.0,ES/RSI(3)+Kelt(1.5)/15min,2:1
3346,1337,2009,40.0,1.02,503.94,-328.96,3.85,12880.54,1.15,419.0,4.5,8.0,"CL/MomThrust(5,1.5)/15min",1.5:1
4083,1362,2721,33.4,1.01,1588.97,-789.59,3.85,15707.84,1.4,511.0,5.5,8.0,NQ/RSI(5)+BB(1.5)/15min,2:1
